# currency: EUR
Name,Set,Finish,Code,NM,NM Source,SP/LP,SP/LP Source,MP,MP Source,HP,HP Source,Trend,Trend Source
Rough Up (Yellow),Super Slam,normal,SUP159,0.02,low,,,,,,,0.14,trend
Sadistic Scowl,Super Slam,normal,SUP095,0.02,low,,,,,,,0.24,trend
Shining Courage,Super Slam,normal,SUP034,0.02,low,,,,,,,0.1,trend
Shoot Your Mouth Off (Blue),Super Slam,normal,SUP191,0.02,low,,,,,,,0.06,trend
Shoot Your Mouth Off (Red),Super Slam,normal,SUP189,0.02,low,,,,,,,0.07,trend
Shoot Your Mouth Off (Yellow),Super Slam,normal,SUP190,0.02,low,,,,,,,0.1,trend
Short Shrift,Super Slam,normal,SUP192,0.02,low,,,,,,,0.22,trend
Show of Strength,Super Slam,normal,SUP128,4,low,,,,,,,5.63,trend
Sit!,Super Slam,normal,SUP210,0.02,low,,,,,,,0.11,trend
Small Problem,Super Slam,normal,SUP193,0.02,low,,,,,,,0.12,trend
Smash with Big Rock,Super Slam,normal,SUP133,0.02,low,,,,,,,0.2,trend
Smashing Ground,Super Slam,normal,SUP132,0.1,low,,,,,,,0.02,trend
Snag,Super Slam,normal,SUP271,5,low,,,,,,,5.83,trend
Song of Sinew,Super Slam,normal,SUP134,0.4,low,,,,,,,0.94,trend
Spew Obscenities,Super Slam,normal,SUP078,0.02,low,,,,,,,0.2,trend
Stand Strong,Super Slam,normal,SUP169,0.02,low,,,,,,,0.19,trend
Steal Victory,Super Slam,normal,SUP069,0.02,low,,,,,,,0.25,trend
Story Beats (Blue),Super Slam,normal,SUP183,0.02,low,,,,,,,0.15,trend
Story Beats (Red),Super Slam,normal,SUP181,0.02,low,,,,,,,0.13,trend
Story Beats (Yellow),Super Slam,normal,SUP182,0.02,low,,,,,,,0.07,trend
Strong Stomach for Adversity,Super Slam,normal,SUP073,0.02,low,,,,,,,0.32,trend
Strongest Survive (Blue),Super Slam,normal,SUP137,0.02,low,,,,,,,0.24,trend
Strongest Survive (Red),Super Slam,normal,SUP135,0.02,low,,,,,,,0.29,trend
Strongest Survive (Yellow),Super Slam,normal,SUP136,0.02,low,,,,,,,0.26,trend
Take That! (Blue),Super Slam,normal,SUP113,0.02,low,,,,,,,0.06,trend
Take That! (Red),Super Slam,normal,SUP111,0.02,low,,,,,,,0.02,trend
Take That! (Yellow),Super Slam,normal,SUP112,0.02,low,,,,,,,0.07,trend
Take the Bait,Super Slam,normal,SUP258,0.08,low,,,,,,,0.52,trend
Tame the Beastly Behavior,Super Slam,normal,SUP024,0.05,low,,,,,,,0.17,trend
Tear Down the Idols,Super Slam,normal,SUP086,0.02,low,,,,,,,0.39,trend
Tempest Palm Gustwave,Super Slam,normal,SUP246,0.2,low,,,,,,,1.51,trend
Tension in the Air (Blue),Super Slam,normal,SUP206,0.02,low,,,,,,,0.1,trend
Tension in the Air (Red),Super Slam,normal,SUP204,0.02,low,,,,,,,0.19,trend
Tension in the Air (Yellow),Super Slam,normal,SUP205,0.02,low,,,,,,,0.05,trend
The Old Switcheroo,Super Slam,normal,SUP087,0.24,low,,,,,,,0.51,trend
The Suspense is Killing Me,Super Slam,normal,SUP207,0.02,low,,,,,,,0.14,trend
Thespian Charm,Super Slam,normal,SUP013,0.02,low,,,,,,,0.48,trend
Tiara of Suspense,Super Slam,normal,,1.19,low,,,,,,,0.02,trend
Time Flies When You're Having Fun,Super Slam,normal,SUP220,0.1,low,,,,,,,0.46,trend
To Be Continued...,Super Slam,normal,SUP208,0.02,low,,,,,,,0.2,trend
Toby Jugs,Super Slam,normal,SUP214,0.02,low,,,,,,,0.17,trend
Tough Leather Boots,Super Slam,normal,SUP003,0.02,low,,,,,,,0.02,trend
Tough Smashup (Blue),Super Slam,normal,SUP048,0.02,low,,,,,,,0.1,trend
Tough Smashup (Red),Super Slam,normal,SUP046,0.02,low,,,,,,,0.1,trend
Tough Smashup (Yellow),Super Slam,normal,SUP047,0.02,low,,,,,,,0.12,trend
Truth or Trickery,Super Slam,normal,SUP077,0.05,low,,,,,,,0.29,trend
Tuffnut,Super Slam,normal,SUP002,0.02,low,,,,,,,0.15,trend
"Tuffnut, Bumbling Hulkster",Super Slam,normal,SUP001,0.08,low,,,,,,,0.41,trend
Turn Heads,Super Slam,normal,SUP176,0.02,low,,,,,,,0.19,trend
Turn the Crowd Grateful (Blue),Super Slam,normal,SUP051,0.02,low,,,,,,,0.05,trend
Turn the Crowd Grateful (Red),Super Slam,normal,SUP049,0.02,low,,,,,,,0.04,trend
Turn the Crowd Grateful (Yellow),Super Slam,normal,SUP050,0.02,low,,,,,,,0.03,trend
Turn the Crowd Hateful (Blue),Super Slam,normal,SUP116,0.02,low,,,,,,,0.05,trend
Turn the Crowd Hateful (Red),Super Slam,normal,SUP114,0.02,low,,,,,,,0.04,trend
Turn the Crowd Hateful (Yellow),Super Slam,normal,SUP115,0.02,low,,,,,,,0.04,trend
Turning Point,Super Slam,normal,SUP015,0.02,low,,,,,,,0.02,trend
Two Steps Ahead,Super Slam,normal,SUP075,0.02,low,,,,,,,0.36,trend
Unexpected Backhand (Blue),Super Slam,normal,SUP163,0.02,low,,,,,,,0.1,trend
Unexpected Backhand (Red),Super Slam,normal,SUP161,0.02,low,,,,,,,0.14,trend
Unexpected Backhand (Yellow),Super Slam,normal,SUP162,0.02,low,,,,,,,0.12,trend
Unwavering Resolve,Super Slam,normal,SUP218,0.02,low,,,,,,,0.27,trend
Up on a Pedestal,Super Slam,normal,SUP014,0.02,low,,,,,,,0.19,trend
Uplifting Performance,Super Slam,normal,SUP016,0.02,low,,,,,,,0.14,trend
Vigorous Roar,Super Slam,normal,SUP138,0.02,low,,,,,,,0.22,trend
Vigorous Smashup (Blue),Super Slam,normal,SUP166,0.02,low,,,,,,,0.19,trend
Vigorous Smashup (Red),Super Slam,normal,SUP164,0.02,low,,,,,,,0.16,trend
Vigorous Smashup (Yellow),Super Slam,normal,SUP165,0.02,low,,,,,,,0.2,trend
Villainous Pose (Blue),Super Slam,normal,SUP122,0.02,low,,,,,,,0.06,trend
Villainous Pose (Red),Super Slam,normal,SUP120,0.02,low,,,,,,,0.16,trend
Villainous Pose (Yellow),Super Slam,normal,SUP121,0.02,low,,,,,,,0.16,trend
Virtuoso Bodice,Super Slam,normal,,2.49,low,,,,,,,3.52,trend
Visit the Boneyard,Super Slam,normal,SUP139,0.02,low,,,,,,,0.27,trend
Warmonger's Diplomacy,Super Slam,normal,,26.9,low,,,,,,,28.11,trend
Wee Wrecking Ball,Super Slam,normal,SUP194,0.02,low,,,,,,,0.17,trend
What Happens Next?,Super Slam,normal,SUP209,0.02,low,,,,,,,0.18,trend
Who Blinks First?,Super Slam,normal,SUP177,0.04,low,,,,,,,0.26,trend
Who's the Tough Guy? (Blue),Super Slam,normal,SUP054,0.02,low,,,,,,,0.04,trend
Who's the Tough Guy? (Red),Super Slam,normal,SUP052,0.02,low,,,,,,,0.04,trend
Who's the Tough Guy? (Yellow),Super Slam,normal,SUP053,0.02,low,,,,,,,0.05,trend
Will of the Crowd,Super Slam,normal,SUP035,0.02,low,,,,,,,0.11,trend
Wind Up the Crowd,Super Slam,normal,SUP006,0.03,low,,,,,,,0.41,trend
Air of a Comeback,Smash Palace,normal,SMP007,1.99,low,,,,,,,,
Arena Medic,Smash Palace,normal,SMP019,2,low,,,,,,,,
Benefactor of Bloodworth Goldmane,Smash Palace,normal,SMP008,1.99,low,,,,,,,,
"Big Hits, Big Applause",Smash Palace,normal,SMP009,1.99,low,,,,,,,,
Bloodied Boots,Smash Palace,normal,SMP017,0.99,low,,,,,,,,
Bloodied Gauntlet,Smash Palace,normal,SMP016,0.99,low,,,,,,,,
Bloodied Helm,Smash Palace,normal,SMP014,0.99,low,,,,,,,,
Bloodied Shield,Smash Palace,normal,SMP018,0.99,low,,,,,,,,
Bloodied Strapping,Smash Palace,normal,SMP015,0.99,low,,,,,,,,
"Bolfar, Bear Hands",Smash Palace,normal,SMP001,1.74,low,,,,,,,1.51,trend
"Bravo, Flattering Showman",Smash Palace,normal,SMP002,2.25,low,,,,,,,2.38,trend
Code of Conduct: Kill or Be Killed,Smash Palace,normal,SMP010,1.99,low,,,,,,,,
Crowd Roars Fight!,Smash Palace,normal,SMP020,2,low,,,,,,,,
Crushing Impact,Smash Palace,normal,SMP021,2,low,,,,,,,,
Didn't See That Coming,Smash Palace,normal,SMP022,2,low,,,,,,,,
Dominate the Competition,Smash Palace,normal,SMP023,2,low,,,,,,,,
Ezy Sqeez Bookie Syndicate,Smash Palace,normal,,2,low,,,,,,,,
Fight Night Prize Purse,Smash Palace,normal,SMP025,2,low,,,,,,,,
Fightmaster Kox,Smash Palace,normal,SMP003,1.75,low,,,,,,,1.51,trend
Gold,Smash Palace,normal,SMP033,3,low,,,,,,,,
Groundbreaker Crix,Smash Palace,normal,SMP004,1.9,low,,,,,,,6.79,trend
Hit the Jackpot,Smash Palace,normal,SMP011,1.99,low,,,,,,,,
Ire of the Crowd,Smash Palace,normal,SMP026,2,low,,,,,,,,
Let Me Buy You a Drink,Smash Palace,normal,SMP027,2,low,,,,,,,,
Lion's Pounce,Smash Palace,normal,SMP028,2,low,,,,,,,,
Pick Yourself Up Off the Floor,Smash Palace,normal,SMP029,2,low,,,,,,,,
Rally the Underdog,Smash Palace,normal,SMP030,2,low,,,,,,,,
Random Events Unfold,Smash Palace,normal,SMP012,1.99,low,,,,,,,,
"Reya, the Unyielding",Smash Palace,normal,SMP005,1.9,low,,,,,,,0.84,trend
Seismic Surge,Smash Palace,normal,SMP034,,,,,,,,,,
The Moat Exchange,Smash Palace,normal,SMP031,2,low,,,,,,,,
Tremor of Anticipation,Smash Palace,normal,SMP032,2,low,,,,,,,,
"Victor Goldmane, Match Fixer",Smash Palace,normal,SMP006,1.9,low,,,,,,,0.84,trend
Visit the 'Winner Takes All',Smash Palace,normal,SMP013,1.99,low,,,,,,,,
Aftershock (Blue),Mastery Pack Guardian,normal,MPG037,2.4,low,,,,,,,3.44,trend
Aftershock (Red),Mastery Pack Guardian,normal,MPG035,0.2,low,,,,,,,0.52,trend
Aftershock (Yellow),Mastery Pack Guardian,normal,MPG036,0.1,low,,,,,,,0.19,trend
Annexation of All Things Known,Mastery Pack Guardian,normal,MPG029,0.02,low,,,,,,,0.25,trend
Annexation of Grandeur,Mastery Pack Guardian,normal,MPG030,0.09,low,,,,,,,0.16,trend
Annexation of the Forge,Mastery Pack Guardian,normal,MPG031,0.1,low,,,,,,,0.2,trend
Base of the Mountain,Mastery Pack Guardian,normal,,85,low,,,,,,,90.78,trend
Blinding of the Old Ones,Mastery Pack Guardian,normal,MPG026,0.2,low,,,,,,,3.52,trend
Bravo,Mastery Pack Guardian,normal,,24.94,low,,,,,,,22.23,trend
Break Stature,Mastery Pack Guardian,normal,MPG014,0.35,low,,,,,,,0.65,trend
Buckling Blow (Blue),Mastery Pack Guardian,normal,MPG054,0.02,low,,,,,,,0.16,trend
Buckling Blow (Red),Mastery Pack Guardian,normal,MPG052,0.02,low,,,,,,,0.16,trend
Buckling Blow (Yellow),Mastery Pack Guardian,normal,MPG053,0.02,low,,,,,,,0.14,trend
Call for Backup,Mastery Pack Guardian,normal,MPG126,9.99,low,,,,,,,13.04,trend
Captain of the Guard,Mastery Pack Guardian,normal,MPG127,0.5,low,,,,,,,1.07,trend
Cartilage Crush (Blue),Mastery Pack Guardian,normal,MPG057,0.02,low,,,,,,,0.13,trend
Cartilage Crush (Red),Mastery Pack Guardian,normal,MPG055,0.02,low,,,,,,,0.14,trend
Cartilage Crush (Yellow),Mastery Pack Guardian,normal,MPG056,0.02,low,,,,,,,0.21,trend
Chokeslam (Blue),Mastery Pack Guardian,normal,MPG060,0.02,low,,,,,,,0.16,trend
Chokeslam (Red),Mastery Pack Guardian,normal,MPG058,0.02,low,,,,,,,0.16,trend
Chokeslam (Yellow),Mastery Pack Guardian,normal,MPG059,0.02,low,,,,,,,0.14,trend
Clash of Arms,Mastery Pack Guardian,normal,MPG049,1.9,low,,,,,,,2.95,trend
Clash of Bravado,Mastery Pack Guardian,normal,MPG015,2.65,low,,,,,,,4.2,trend
Clash of Chests,Mastery Pack Guardian,normal,MPG048,0.2,low,,,,,,,3,trend
Clash of Heads,Mastery Pack Guardian,normal,MPG047,0.8,low,,,,,,,2.68,trend
Clash of Legs,Mastery Pack Guardian,normal,MPG050,0.5,low,,,,,,,3.05,trend
Clash of Mountains (Blue),Mastery Pack Guardian,normal,MPG063,0.02,low,,,,,,,0.14,trend
Clash of Mountains (Red),Mastery Pack Guardian,normal,MPG061,0.02,low,,,,,,,0.09,trend
Clash of Mountains (Yellow),Mastery Pack Guardian,normal,MPG062,0.02,low,,,,,,,0.02,trend
Clash of Shields,Mastery Pack Guardian,normal,MPG051,0.5,low,,,,,,,1.79,trend
Crash and Bash (Blue),Mastery Pack Guardian,normal,MPG111,0.02,low,,,,,,,0.16,trend
Crash and Bash (Red),Mastery Pack Guardian,normal,MPG109,0.02,low,,,,,,,0.28,trend
Crash and Bash (Yellow),Mastery Pack Guardian,normal,MPG110,0.02,low,,,,,,,0.1,trend
Craterhoof,Mastery Pack Guardian,normal,MPG008,0.02,low,,,,,,,0.43,trend
Crush Confidence (Blue),Mastery Pack Guardian,normal,MPG066,0.02,low,,,,,,,0.15,trend
Crush Confidence (Red),Mastery Pack Guardian,normal,MPG064,0.02,low,,,,,,,0.14,trend
Crush Confidence (Yellow),Mastery Pack Guardian,normal,MPG065,0.02,low,,,,,,,0.15,trend
Crush the Weak (Blue),Mastery Pack Guardian,normal,MPG069,0.02,low,,,,,,,0.12,trend
Crush the Weak (Red),Mastery Pack Guardian,normal,MPG067,0.02,low,,,,,,,0.22,trend
Crush the Weak (Yellow),Mastery Pack Guardian,normal,MPG068,0.02,low,,,,,,,0.1,trend
Daily Grind,Mastery Pack Guardian,normal,MPG022,0.2,low,,,,,,,0.47,trend
Debilitate (Blue),Mastery Pack Guardian,normal,MPG072,0.02,low,,,,,,,0.13,trend
Debilitate (Red),Mastery Pack Guardian,normal,MPG070,0.02,low,,,,,,,0.14,trend
Debilitate (Yellow),Mastery Pack Guardian,normal,MPG071,0.02,low,,,,,,,0.24,trend
Disable (Blue),Mastery Pack Guardian,normal,MPG075,0.02,low,,,,,,,0.15,trend
Disable (Red),Mastery Pack Guardian,normal,MPG073,0.02,low,,,,,,,0.1,trend
Disable (Yellow),Mastery Pack Guardian,normal,MPG074,0.02,low,,,,,,,0.11,trend
Disenchantment of the Old Ones,Mastery Pack Guardian,normal,MPG027,0.14,low,,,,,,,1.26,trend
Draw a Crowd,Mastery Pack Guardian,normal,MPG044,0.3,low,,,,,,,0.23,trend
Embolden (Blue),Mastery Pack Guardian,normal,MPG099,0.02,low,,,,,,,0.1,trend
Embolden (Red),Mastery Pack Guardian,normal,MPG097,0.02,low,,,,,,,0.06,trend
Embolden (Yellow),Mastery Pack Guardian,normal,MPG098,0.02,low,,,,,,,0.14,trend
Emerging Power (Blue),Mastery Pack Guardian,normal,MPG102,0.02,low,,,,,,,0.09,trend
Emerging Power (Red),Mastery Pack Guardian,normal,MPG100,0.02,low,,,,,,,0.05,trend
Emerging Power (Yellow),Mastery Pack Guardian,normal,MPG101,0.02,low,,,,,,,0.12,trend
Fault Line,Mastery Pack Guardian,normal,MPG032,0.25,low,,,,,,,1.05,trend
Fearless Confrontation,Mastery Pack Guardian,normal,MPG128,17,low,,,,,,,21.32,trend
Flatten the Field (Blue),Mastery Pack Guardian,normal,MPG078,0.02,low,,,,,,,0.13,trend
Flatten the Field (Red),Mastery Pack Guardian,normal,MPG076,0.02,low,,,,,,,0.06,trend
Flatten the Field (Yellow),Mastery Pack Guardian,normal,MPG077,0.02,low,,,,,,,0.15,trend
Gauntlet of Boulderhold,Mastery Pack Guardian,normal,MPG007,0.02,low,,,,,,,0.86,trend
Geyser of Seismic Stirrings (Blue),Mastery Pack Guardian,normal,MPG105,0.02,low,,,,,,,0.09,trend
Geyser of Seismic Stirrings (Red),Mastery Pack Guardian,normal,MPG103,0.02,low,,,,,,,0.14,trend
Geyser of Seismic Stirrings (Yellow),Mastery Pack Guardian,normal,MPG104,0.02,low,,,,,,,0.1,trend
Goliath Gauntlet,Mastery Pack Guardian,normal,MPG120,0.02,low,,,,,,,0.14,trend
Grind Them Down (Blue),Mastery Pack Guardian,normal,MPG081,0.02,low,,,,,,,0.1,trend
Grind Them Down (Red),Mastery Pack Guardian,normal,MPG079,0.02,low,,,,,,,0.11,trend
Grind Them Down (Yellow),Mastery Pack Guardian,normal,MPG080,0.02,low,,,,,,,0.14,trend
Headbutt,Mastery Pack Guardian,normal,MPG016,3,low,,,,,,,6.22,trend
Heartened Cross Strap,Mastery Pack Guardian,normal,MPG119,0.02,low,,,,,,,0.12,trend
Helm of Isen's Peak,Mastery Pack Guardian,normal,MPG005,0.02,low,,,,,,,0.17,trend
High Riser,Mastery Pack Guardian,normal,MPG003,0.02,low,,,,,,,0.02,trend
Hoarding of Denial,Mastery Pack Guardian,normal,MPG009,0.02,low,,,,,,,0.15,trend
Hope Merchant's Hood,Mastery Pack Guardian,normal,MPG118,0.02,low,,,,,,,0.16,trend
Hostile Encroachment,Mastery Pack Guardian,normal,MPG033,0.1,low,,,,,,,0.55,trend
Ironrot Gauntlet,Mastery Pack Guardian,normal,MPG124,0.02,low,,,,,,,0.12,trend
Ironrot Helm,Mastery Pack Guardian,normal,MPG122,0.02,low,,,,,,,0.14,trend
Ironrot Legs,Mastery Pack Guardian,normal,MPG125,0.04,low,,,,,,,0.1,trend
Ironrot Plate,Mastery Pack Guardian,normal,MPG123,0.02,low,,,,,,,0.11,trend
Jarl Vetreiði,Mastery Pack Guardian,normal,,1198,low,,,,,,,465.21,trend
Leave a Dent,Mastery Pack Guardian,normal,MPG020,0.79,low,,,,,,,1.14,trend
Ley Line of the Old Ones,Mastery Pack Guardian,normal,,105,low,,,,,,,111.29,trend
Little Big Foot (Blue),Mastery Pack Guardian,normal,MPG040,0.2,low,,,,,,,0.99,trend
Little Big Foot (Red),Mastery Pack Guardian,normal,MPG038,0.1,low,,,,,,,0.48,trend
Little Big Foot (Yellow),Mastery Pack Guardian,normal,MPG039,0.05,low,,,,,,,0.46,trend
Macho Grande (Blue),Mastery Pack Guardian,normal,MPG043,0.15,low,,,,,,,0.43,trend
Macho Grande (Red),Mastery Pack Guardian,normal,MPG041,0.1,low,,,,,,,0.31,trend
Macho Grande (Yellow),Mastery Pack Guardian,normal,MPG042,0.02,low,,,,,,,0.35,trend
Overswing (Blue),Mastery Pack Guardian,normal,MPG093,0.02,low,,,,,,,0.1,trend
Overswing (Red),Mastery Pack Guardian,normal,MPG091,0.02,low,,,,,,,0.14,trend
Overswing (Yellow),Mastery Pack Guardian,normal,MPG092,0.02,low,,,,,,,0.16,trend
Pec Perfect,Mastery Pack Guardian,normal,MPG017,1.9,low,,,,,,,3.54,trend
Promising Terrain,Mastery Pack Guardian,normal,MPG045,0.2,low,,,,,,,2.89,trend
Put 'Em In Their Place,Mastery Pack Guardian,normal,MPG018,1,low,,,,,,,2.53,trend
Renounce Grandeur,Mastery Pack Guardian,normal,MPG034,1.5,low,,,,,,,4.68,trend
Richter Scale,Mastery Pack Guardian,normal,MPG006,0.02,low,,,,,,,0.2,trend
Rotten Old Buckler,Mastery Pack Guardian,normal,MPG010,0.02,low,,,,,,,0.23,trend
Rubble Raiser (Blue),Mastery Pack Guardian,normal,MPG084,0.02,low,,,,,,,0.13,trend
Rubble Raiser (Red),Mastery Pack Guardian,normal,MPG082,0.02,low,,,,,,,0.08,trend
Rubble Raiser (Yellow),Mastery Pack Guardian,normal,MPG083,0.02,low,,,,,,,0.15,trend
Seismic Eruption,Mastery Pack Guardian,normal,MPG024,1.85,low,,,,,,,2.49,trend
Seismic Shelter,Mastery Pack Guardian,normal,MPG023,0.3,low,,,,,,,0.74,trend
Seismic Stir (Blue),Mastery Pack Guardian,normal,MPG096,0.02,low,,,,,,,0.23,trend
Seismic Stir (Red),Mastery Pack Guardian,normal,MPG094,0.02,low,,,,,,,0.13,trend
Seismic Stir (Yellow),Mastery Pack Guardian,normal,MPG095,0.02,low,,,,,,,0.11,trend
Seismic Surge,Mastery Pack Guardian,normal,MPG112,0.1,low,,,,,,,0.19,trend
Smelting of the Old Ones,Mastery Pack Guardian,normal,MPG028,0.5,low,,,,,,,1.88,trend
Solid Ground,Mastery Pack Guardian,normal,MPG019,1.34,low,,,,,,,1.63,trend
Steelbraid Buckler,Mastery Pack Guardian,normal,MPG011,0.02,low,,,,,,,0.32,trend
Stonewall Confidence (Blue),Mastery Pack Guardian,normal,MPG108,0.02,low,,,,,,,0.13,trend
Stonewall Confidence (Red),Mastery Pack Guardian,normal,MPG106,0.02,low,,,,,,,0.14,trend
Stonewall Confidence (Yellow),Mastery Pack Guardian,normal,MPG107,0.02,low,,,,,,,0.12,trend
Sunkwater Exoshell,Mastery Pack Guardian,normal,MPG115,0.06,low,,,,,,,0.19,trend
Sunkwater Lookout,Mastery Pack Guardian,normal,MPG114,0.09,low,,,,,,,0.14,trend
Sunkwater Pincers,Mastery Pack Guardian,normal,MPG116,0.09,low,,,,,,,0.2,trend
Sunkwater Scalers,Mastery Pack Guardian,normal,MPG117,0.08,low,,,,,,,0.17,trend
Tectonic Instability,Mastery Pack Guardian,normal,MPG046,1,low,,,,,,,5.22,trend
Test of Iron Grip,Mastery Pack Guardian,normal,MPG025,7.95,low,,,,,,,10.56,trend
Testament of Valahai,Mastery Pack Guardian,normal,,57,low,,,,,,,60.08,trend
Thump (Blue),Mastery Pack Guardian,normal,MPG087,0.02,low,,,,,,,0.13,trend
Thump (Red),Mastery Pack Guardian,normal,MPG085,0.02,low,,,,,,,0.04,trend
Thump (Yellow),Mastery Pack Guardian,normal,MPG086,0.02,low,,,,,,,0.11,trend
Thunder Quake (Blue),Mastery Pack Guardian,normal,MPG090,0.02,low,,,,,,,0.24,trend
Thunder Quake (Red),Mastery Pack Guardian,normal,MPG088,0.02,low,,,,,,,0.04,trend
Thunder Quake (Yellow),Mastery Pack Guardian,normal,MPG089,0.02,low,,,,,,,0.09,trend
Time Skippers,Mastery Pack Guardian,normal,MPG121,0.02,low,,,,,,,0.23,trend
Tremor of Resistance,Mastery Pack Guardian,normal,MPG012,0.02,low,,,,,,,0.02,trend
Valda Brightaxe,Mastery Pack Guardian,normal,MPG002,0.02,low,,,,,,,0.14,trend
"Valda, Seismic Impact",Mastery Pack Guardian,normal,MPG001,0.29,low,,,,,,,0.57,trend
Visit Anvilheim,Mastery Pack Guardian,normal,MPG021,0.95,low,,,,,,,2.55,trend
Blossom of Spring,Welcome Deck Bravo,normal,,0.5,low,,,,,,,0.7,trend
"Bravo, Flattering Showman",Welcome Deck Bravo,normal,,2,low,,,,,,,4,trend
Buckling Blow (Yellow),Welcome Deck Bravo,normal,,0.1,low,,,,,,,,
Clash of Mountains (Blue),Welcome Deck Bravo,normal,,0.1,low,,,,,,,,
Cracker Jax,Welcome Deck Bravo,normal,,0.1,low,,,,,,,0.14,trend
Crash and Bash (Blue),Welcome Deck Bravo,normal,,0.1,low,,,,,,,0.15,trend
Crash Down (Red),Welcome Deck Bravo,normal,,1.5,low,,,,,,,1.47,trend
Debilitate (Red),Welcome Deck Bravo,normal,,0.1,low,,,,,,,,
Disable (Blue),Welcome Deck Bravo,normal,,0.1,low,,,,,,,0.25,trend
Flatten the Field (Blue),Welcome Deck Bravo,normal,,0.1,low,,,,,,,0.15,trend
Grind Them Down (Blue),Welcome Deck Bravo,normal,,0.1,low,,,,,,,0.12,trend
Ironrot Helm,Welcome Deck Bravo,normal,,0.1,low,,,,,,,0.1,trend
Ironrot Legs,Welcome Deck Bravo,normal,,0.1,low,,,,,,,0.13,trend
Knock 'Em Off Their Feet,Welcome Deck Bravo,normal,,2.3,low,,,,,,,3.05,trend
Macho Grande (Blue),Welcome Deck Bravo,normal,,0.4,low,,,,,,,0.52,trend
Placeholder Weapon,Welcome Deck Bravo,normal,,0.1,low,,,,,,,0.15,trend
Reinforce the Line (Blue),Welcome Deck Bravo,normal,,0.1,low,,,,,,,0.15,trend
Seismic Surge,Welcome Deck Bravo,normal,,0.1,low,,,,,,,,
Thunder Quake (Red),Welcome Deck Bravo,normal,,0.9,low,,,,,,,0.83,trend
Bittering Thorns (Blue),Armory Deck: Ira,normal,,1.7,low,,,,,,,0.82,trend
Bittering Thorns (Red),Armory Deck: Ira,normal,,1.75,low,,,,,,,2.27,trend
Edge of Autumn,Armory Deck: Ira,normal,,0.1,low,,,,,,,,
Enact Vengeance,Armory Deck: Ira,normal,,1.34,low,,,,,,,1.86,trend
Energy Potion,Armory Deck: Ira,normal,,0.15,low,,,,,,,0.7,trend
Flic Flak (Red),Armory Deck: Ira,normal,,0.02,low,,,,,,,0.27,trend
Flying Kick (Blue),Armory Deck: Ira,normal,,0.05,low,,,,,,,0.17,trend
Flying Kick (Red),Armory Deck: Ira,normal,,0.05,low,,,,,,,0.15,trend
Give and Take,Armory Deck: Ira,normal,,0.74,low,,,,,,,0.93,trend
"Ira, Scarlet Revenger",Armory Deck: Ira,normal,,0.3,low,,,,,,,0.96,trend
Iris of the Blossom,Armory Deck: Ira,normal,,2.25,low,,,,,,,3.5,trend
Legacy of Ikaru,Armory Deck: Ira,normal,,4.5,low,,,,,,,5.85,trend
Okana Scar Wraps,Armory Deck: Ira,normal,,3.9,low,,,,,,,3.87,trend
Razor Reflex (Red),Armory Deck: Ira,normal,,0.21,low,,,,,,,0.48,trend
Robe of Autumn's Fall,Armory Deck: Ira,normal,,3.99,low,,,,,,,5.69,trend
Scar for a Scar (Red),Armory Deck: Ira,normal,,0.1,low,,,,,,,0.08,trend
Seek Vengeance (Blue),Armory Deck: Ira,normal,,1.75,low,,,,,,,2.26,trend
Seek Vengeance (Red),Armory Deck: Ira,normal,,0.5,low,,,,,,,2.27,trend
Sink Below (Red),Armory Deck: Ira,normal,,1.49,low,,,,,,,2.27,trend
Snapdragon Scalers,Armory Deck: Ira,normal,,0.1,low,,,,,,,0.28,trend
Snatch (Red),Armory Deck: Ira,normal,,0.33,low,,,,,,,1.67,trend
Soulbead Strike (Blue),Armory Deck: Ira,normal,,0.15,low,,,,,,,0.18,trend
Soulbead Strike (Red),Armory Deck: Ira,normal,,0.06,low,,,,,,,0.08,trend
Torrent of Tempo (Blue),Armory Deck: Ira,normal,,0.05,low,,,,,,,,
Torrent of Tempo (Red),Armory Deck: Ira,normal,,0.05,low,,,,,,,0.15,trend
Vengeance Never Rests,Armory Deck: Ira,normal,,0.9,low,,,,,,,1.8,trend
Whirling Mist Blossom,Armory Deck: Ira,normal,,0.02,low,,,,,,,0.02,trend
Amethyst Amulet,High Seas,normal,SEA189,1,low,,,,,,,1.57,trend
Angry Bones (Blue),High Seas,normal,SEA064,0.02,low,,,,,,,0.02,trend
Angry Bones (Red),High Seas,normal,SEA062,0.02,low,,,,,,,0.11,trend
Angry Bones (Yellow),High Seas,normal,SEA063,0.02,low,,,,,,,0.03,trend
"Anka, Drag Under",High Seas,normal,,20,low,,,,,,,22.47,trend
Arcane Compliance,High Seas,normal,SEA261,1.99,low,,,,,,,2.58,trend
Avast Ye!,High Seas,normal,SEA056,0.02,low,,,,,,,0.25,trend
Bam Bam,High Seas,normal,SEA250,0.1,low,,,,,,,1.15,trend
Bandana of the Blue Beyond,High Seas,normal,SEA179,0.02,low,,,,,,,0.43,trend
Bandana of the Blue Beyonds,High Seas,normal,,0.89,low,,,,,,,0.45,trend
Barbed Barrage,High Seas,normal,SEA098,1.42,low,,,,,,,1.81,trend
Barnacle,High Seas,normal,SEA074,0.02,low,,,,,,,0.14,trend
Battalion Barque (Blue),High Seas,normal,SEA154,0.02,low,,,,,,,0.11,trend
