# ratio: tcgplayer / cardmarket
# fx: 1 EUR = 1.143 USD (ECB 2026-07-10)
Name,Set,Finish,Code,NM,NM Basis,SP/LP,SP/LP Basis,MP,MP Basis,HP,HP Basis
Little Big Foot (Yellow),Mastery Pack Guardian,normal,MPG039,+266.7%,listing/low,,,,,,
Macho Grande (Blue),Mastery Pack Guardian,normal,MPG043,+105.9%,listing/low,,,,,,
Macho Grande (Red),Mastery Pack Guardian,normal,MPG041,+63.6%,listing/low,,,,,,
Macho Grande (Yellow),Mastery Pack Guardian,normal,MPG042,+400.0%,listing/low,,,,,,
Overswing (Blue),Mastery Pack Guardian,normal,MPG093,+350.0%,listing/low,,,,,,
Overswing (Red),Mastery Pack Guardian,normal,MPG091,+350.0%,listing/low,,,,,,
Overswing (Yellow),Mastery Pack Guardian,normal,MPG092,+400.0%,listing/low,,,,,,
Pec Perfect,Mastery Pack Guardian,normal,MPG017,-47.9%,listing/low,,,,,,
Promising Terrain,Mastery Pack Guardian,normal,MPG045,+813.0%,listing/low,,,,,,
Put 'Em In Their Place,Mastery Pack Guardian,normal,MPG018,+207.0%,listing/low,,,,,,
Renounce Grandeur,Mastery Pack Guardian,normal,MPG034,+86.5%,listing/low,,,,,,
Richter Scale,Mastery Pack Guardian,normal,MPG006,+800.0%,listing/low,,,,,,
Rotten Old Buckler,Mastery Pack Guardian,normal,MPG010,+0.0%,listing/low,,,,,,
Rubble Raiser (Blue),Mastery Pack Guardian,normal,MPG084,+350.0%,listing/low,,,,,,
Rubble Raiser (Red),Mastery Pack Guardian,normal,MPG082,+400.0%,listing/low,,,,,,
Rubble Raiser (Yellow),Mastery Pack Guardian,normal,MPG083,+350.0%,listing/low,,,,,,
Seismic Eruption,Mastery Pack Guardian,normal,MPG024,+11.4%,listing/low,,,,,,
Seismic Shelter,Mastery Pack Guardian,normal,MPG023,-41.2%,listing/low,,,,,,
Seismic Stir (Blue),Mastery Pack Guardian,normal,MPG096,+400.0%,listing/low,,,,,,
Seismic Stir (Red),Mastery Pack Guardian,normal,MPG094,+300.0%,listing/low,,,,,,
Seismic Stir (Yellow),Mastery Pack Guardian,normal,MPG095,+400.0%,listing/low,,,,,,
Smelting of the Old Ones,Mastery Pack Guardian,normal,MPG028,-56.1%,listing/low,,,,,,
Solid Ground,Mastery Pack Guardian,normal,MPG019,-21.6%,listing/low,,,,,,
Steelbraid Buckler,Mastery Pack Guardian,normal,MPG011,+850.0%,listing/low,,,,,,
Stonewall Confidence (Blue),Mastery Pack Guardian,normal,MPG108,+150.0%,listing/low,,,,,,
Stonewall Confidence (Red),Mastery Pack Guardian,normal,MPG106,+150.0%,listing/low,,,,,,
Stonewall Confidence (Yellow),Mastery Pack Guardian,normal,MPG107,+150.0%,listing/low,,,,,,
Sunkwater Exoshell,Mastery Pack Guardian,normal,MPG115,+185.7%,listing/low,,,,,,
Sunkwater Lookout,Mastery Pack Guardian,normal,MPG114,+100.0%,listing/low,,,,,,
Sunkwater Pincers,Mastery Pack Guardian,normal,MPG116,+60.0%,listing/low,,,,,,
Sunkwater Scalers,Mastery Pack Guardian,normal,MPG117,+100.0%,listing/low,,,,,,
Tectonic Instability,Mastery Pack Guardian,normal,MPG046,+571.1%,listing/low,,,,,,
Test of Iron Grip,Mastery Pack Guardian,normal,MPG025,-34.1%,listing/low,,,,,,
Thump (Blue),Mastery Pack Guardian,normal,MPG087,+350.0%,listing/low,,,,,,
Thump (Red),Mastery Pack Guardian,normal,MPG085,+250.0%,listing/low,,,,,,
Thump (Yellow),Mastery Pack Guardian,normal,MPG086,+350.0%,listing/low,,,,,,
Thunder Quake (Blue),Mastery Pack Guardian,normal,MPG090,+600.0%,listing/low,,,,,,
Thunder Quake (Red),Mastery Pack Guardian,normal,MPG088,+350.0%,listing/low,,,,,,
Thunder Quake (Yellow),Mastery Pack Guardian,normal,MPG089,+0.0%,listing/low,,,,,,
Time Skippers,Mastery Pack Guardian,normal,MPG121,+400.0%,listing/low,,,,,,
Tremor of Resistance,Mastery Pack Guardian,normal,MPG012,+350.0%,listing/low,,,,,,
"Valda, Seismic Impact",Mastery Pack Guardian,normal,MPG001,+142.4%,listing/low,,,,,,
Visit Anvilheim,Mastery Pack Guardian,normal,MPG021,+109.2%,listing/low,,,,,,
Blossom of Spring,Welcome Deck Bravo,normal,,+294.7%,listing/low,,,,,,
"Bravo, Flattering Showman",Welcome Deck Bravo,normal,,+87.8%,listing/low,,,,,,
Buckling Blow (Yellow),Welcome Deck Bravo,normal,,+800.0%,listing/low,,,,,,
Clash of Mountains (Blue),Welcome Deck Bravo,normal,,+800.0%,listing/low,,,,,,
Cracker Jax,Welcome Deck Bravo,normal,,+1709.1%,listing/low,,,,,,
Crash and Bash (Blue),Welcome Deck Bravo,normal,,+800.0%,listing/low,,,,,,
Crash Down (Red),Welcome Deck Bravo,normal,,+16.4%,listing/low,,,,,,
Debilitate (Red),Welcome Deck Bravo,normal,,+800.0%,listing/low,,,,,,
Disable (Blue),Welcome Deck Bravo,normal,,+800.0%,listing/low,,,,,,
Flatten the Field (Blue),Welcome Deck Bravo,normal,,+800.0%,listing/low,,,,,,
Grind Them Down (Blue),Welcome Deck Bravo,normal,,+800.0%,listing/low,,,,,,
Ironrot Helm,Welcome Deck Bravo,normal,,+1709.1%,listing/low,,,,,,
Ironrot Legs,Welcome Deck Bravo,normal,,+1709.1%,listing/low,,,,,,
Knock 'Em Off Their Feet,Welcome Deck Bravo,normal,,+90.1%,listing/low,,,,,,
Macho Grande (Blue),Welcome Deck Bravo,normal,,+332.6%,listing/low,,,,,,
Placeholder Weapon,Welcome Deck Bravo,normal,,+2618.2%,listing/low,,,,,,
Reinforce the Line (Blue),Welcome Deck Bravo,normal,,+790.9%,listing/low,,,,,,
Thunder Quake (Red),Welcome Deck Bravo,normal,,-3.9%,listing/low,,,,,,
Bittering Thorns (Blue),Armory Deck: Ira,normal,,-80.4%,listing/low,,,,,,
Bittering Thorns (Red),Armory Deck: Ira,normal,,-52.0%,listing/low,,,,,,
Edge of Autumn,Armory Deck: Ira,normal,,+81.8%,listing/low,,,,,,
Enact Vengeance,Armory Deck: Ira,normal,,-41.2%,listing/low,,,,,,
Energy Potion,Armory Deck: Ira,normal,,+135.3%,listing/low,,,,,,
Flic Flak (Red),Armory Deck: Ira,normal,,+1150.0%,listing/low,,,,,,
Flying Kick (Blue),Armory Deck: Ira,normal,,+150.0%,listing/low,,,,,,
Flying Kick (Red),Armory Deck: Ira,normal,,+150.0%,listing/low,,,,,,
Give and Take,Armory Deck: Ira,normal,,-16.5%,listing/low,,,,,,
Legacy of Ikaru,Armory Deck: Ira,normal,,+172.4%,listing/low,,,,,,
Razor Reflex (Red),Armory Deck: Ira,normal,,+12.5%,listing/low,,,,,,
Scar for a Scar (Red),Armory Deck: Ira,normal,,+36.4%,listing/low,,,,,,
Seek Vengeance (Blue),Armory Deck: Ira,normal,,+77.5%,listing/low,,,,,,
Seek Vengeance (Red),Armory Deck: Ira,normal,,+226.3%,listing/low,,,,,,
Sink Below (Red),Armory Deck: Ira,normal,,+105.9%,listing/low,,,,,,
Snapdragon Scalers,Armory Deck: Ira,normal,,+309.1%,listing/low,,,,,,
Snatch (Red),Armory Deck: Ira,normal,,+155.3%,listing/low,,,,,,
Soulbead Strike (Blue),Armory Deck: Ira,normal,,+47.1%,listing/low,,,,,,
Soulbead Strike (Red),Armory Deck: Ira,normal,,+257.1%,listing/low,,,,,,
Torrent of Tempo (Blue),Armory Deck: Ira,normal,,+150.0%,listing/low,,,,,,
Torrent of Tempo (Red),Armory Deck: Ira,normal,,+166.7%,listing/low,,,,,,
Vengeance Never Rests,Armory Deck: Ira,normal,,-56.3%,listing/low,,,,,,
Whirling Mist Blossom,Armory Deck: Ira,normal,,+1300.0%,listing/low,,,,,,
Amethyst Amulet,High Seas,normal,SEA189,+73.7%,listing/low,,,,,,
Angry Bones (Blue),High Seas,normal,SEA064,+0.0%,listing/low,,,,,,
Angry Bones (Red),High Seas,normal,SEA062,-50.0%,listing/low,,,,,,
Angry Bones (Yellow),High Seas,normal,SEA063,-50.0%,listing/low,,,,,,
Arcane Compliance,High Seas,normal,SEA261,+12.3%,listing/low,,,,,,
Avast Ye!,High Seas,normal,SEA056,+100.0%,listing/low,,,,,,
Bam Bam,High Seas,normal,SEA250,+354.5%,listing/low,,,,,,
Bandana of the Blue Beyonds,High Seas,normal,,-98.0%,listing/low,,,,,,
Barbed Barrage,High Seas,normal,SEA098,-32.7%,listing/low,,,,,,
Barnacle,High Seas,normal,SEA074,+0.0%,listing/low,,,,,,
Battalion Barque (Blue),High Seas,normal,SEA154,-50.0%,listing/low,,,,,,
Battalion Barque (Red),High Seas,normal,SEA152,+0.0%,listing/low,,,,,,
Battalion Barque (Yellow),High Seas,normal,SEA153,+0.0%,listing/low,,,,,,
Big Game Trophy Shot,High Seas,normal,SEA087,,,,,,,,
Blood in the Water,High Seas,normal,SEA047,+234.5%,listing/low,,,,,,
Blow for a Blow,High Seas,normal,SEA216,+150.0%,listing/low,,,,,,
Blue Fin Harpoon,High Seas,normal,SEA089,+400.0%,listing/low,,,,,,
Blue Sea Tricorn,High Seas,normal,SEA126,+150.0%,listing/low,,,,,,
Board the Ship,High Seas,normal,SEA053,-50.0%,listing/low,,,,,,
Buccaneer's Bounty,High Seas,normal,SEA127,-50.0%,listing/low,,,,,,
Burly Bones (Blue),High Seas,normal,SEA067,-50.0%,listing/low,,,,,,
Burly Bones (Red),High Seas,normal,SEA065,+0.0%,listing/low,,,,,,
Burly Bones (Yellow),High Seas,normal,SEA066,-50.0%,listing/low,,,,,,
Burn Bare,High Seas,normal,SEA255,+197.4%,listing/low,,,,,,
Call in the Big Guns (Blue),High Seas,normal,SEA122,+0.0%,listing/low,,,,,,
Call in the Big Guns (Red),High Seas,normal,SEA120,+250.0%,listing/low,,,,,,
Call in the Big Guns (Yellow),High Seas,normal,SEA121,+0.0%,listing/low,,,,,,
Captain's Coat,High Seas,normal,SEA181,+150.0%,listing/low,,,,,,
Chart a Course (Blue),High Seas,normal,SEA175,-50.0%,listing/low,,,,,,
Chart a Course (Red),High Seas,normal,SEA173,+0.0%,listing/low,,,,,,
Chart a Course (Yellow),High Seas,normal,SEA174,-50.0%,listing/low,,,,,,
Chart the High Seas,High Seas,normal,SEA048,+25.9%,listing/low,,,,,,
"Chowder, Hearty Cook",High Seas,normal,SEA075,+150.0%,listing/low,,,,,,
"Chum, Friendly First Mate",High Seas,normal,SEA050,+68.6%,listing/low,,,,,,
Clap 'Em in Irons,High Seas,normal,SEA209,-50.0%,listing/low,,,,,,
Claw of Vynserakai,High Seas,normal,SEA257,-26.7%,listing/low,,,,,,
Cloud City Steamboat (Blue),High Seas,normal,SEA017,+0.0%,listing/low,,,,,,
Cloud City Steamboat (Red),High Seas,normal,SEA015,+50.0%,listing/low,,,,,,
Cloud City Steamboat (Yellow),High Seas,normal,SEA016,-50.0%,listing/low,,,,,,
Cloud Skiff (Blue),High Seas,normal,SEA026,+0.0%,listing/low,,,,,,
Cloud Skiff (Red),High Seas,normal,SEA024,+0.0%,listing/low,,,,,,
Cloud Skiff (Yellow),High Seas,normal,SEA025,+0.0%,listing/low,,,,,,
Codex of Frailty,High Seas,normal,SEA248,+26.9%,listing/low,,,,,,
Cog in the Machine,High Seas,normal,SEA013,+113.0%,listing/low,,,,,,
Cogwerx Dovetail,High Seas,normal,SEA011,+321.7%,listing/low,,,,,,
Cogwerx Workshop,High Seas,normal,SEA014,+400.0%,listing/low,,,,,,
Cogwerx Zeppelin (Blue),High Seas,normal,SEA020,+400.0%,listing/low,,,,,,
Cogwerx Zeppelin (Red),High Seas,normal,SEA018,-50.0%,listing/low,,,,,,
Cogwerx Zeppelin (Yellow),High Seas,normal,SEA019,+400.0%,listing/low,,,,,,
Conqueror of the High Seas,High Seas,normal,SEA130,+59.8%,listing/low,,,,,,
Consign to Cosmos // Shock,High Seas,normal,SEA259,+767.4%,listing/low,,,,,,
Copper Cog,High Seas,normal,SEA021,+87.1%,listing/low,,,,,,
Cracked Bauble,High Seas,normal,SEA246,-50.0%,listing/low,,,,,,
Crash Down the Gates (Blue),High Seas,normal,SEA200,-50.0%,listing/low,,,,,,
Crash Down the Gates (Red),High Seas,normal,SEA198,+150.0%,listing/low,,,,,,
Crash Down the Gates (Yellow),High Seas,normal,SEA199,-50.0%,listing/low,,,,,,
"Cutty Shark, Quick Clip",High Seas,normal,SEA076,+150.0%,listing/low,,,,,,
Deny redemption,High Seas,normal,SEA254,+172.7%,listing/low,,,,,,
Diamond Amulet,High Seas,normal,SEA190,+18.9%,listing/low,,,,,,
Divvy Up,High Seas,normal,SEA144,-50.0%,listing/low,,,,,,
Draw Back the Hammer,High Seas,normal,SEA039,+0.0%,listing/low,,,,,,
Drop the Anchor,High Seas,normal,SEA100,+0.0%,listing/low,,,,,,
Dry Powder Shot,High Seas,normal,SEA106,+150.0%,listing/low,,,,,,
Entangling Shot,High Seas,normal,SEA107,-50.0%,listing/low,,,,,,
Escalate Bloodshed,High Seas,normal,SEA253,+316.7%,listing/low,,,,,,
Everbloom // Life,High Seas,normal,SEA258,+45.7%,listing/low,,,,,,
Expedition to Azuro Keys,High Seas,normal,SEA155,+0.0%,listing/low,,,,,,
Expedition to Blackwater Strait,High Seas,normal,SEA156,,,,,,,,
Expedition to Dreadfall Reach,High Seas,normal,SEA157,-50.0%,listing/low,,,,,,
Expedition to Horizon's Mantle,High Seas,normal,SEA158,+0.0%,listing/low,,,,,,
Fiddler's Green (Blue),High Seas,normal,SEA214,-50.0%,listing/low,,,,,,
Fiddler's Green (Red),High Seas,normal,SEA212,+500.0%,listing/low,,,,,,
Fiddler's Green (Yellow),High Seas,normal,SEA213,-50.0%,listing/low,,,,,,
Fire in the Hole,High Seas,normal,SEA101,-50.0%,listing/low,,,,,,
Fish Fingers,High Seas,normal,SEA128,+0.0%,listing/low,,,,,,
Flying High (Blue),High Seas,normal,SEA208,+1150.0%,listing/low,,,,,,
Flying High (Red),High Seas,normal,SEA206,-50.0%,listing/low,,,,,,
Flying High (Yellow),High Seas,normal,SEA207,+150.0%,listing/low,,,,,,
Fool's Gold,High Seas,normal,SEA215,+650.0%,listing/low,,,,,,
Give No Quarter,High Seas,normal,SEA049,+150.0%,listing/low,,,,,,
Glidewell Fins,High Seas,normal,SEA097,+0.0%,listing/low,,,,,,
Gold Hunter Ketch,High Seas,normal,SEA165,+0.0%,listing/low,,,,,,
Gold Hunter Lightsail,High Seas,normal,SEA162,+0.0%,listing/low,,,,,,
Gold Hunter Longboat,High Seas,normal,SEA163,+0.0%,listing/low,,,,,,
Gold Hunter Marauder,High Seas,normal,SEA164,+0.0%,listing/low,,,,,,
Gold the Tip,High Seas,normal,SEA088,+30.3%,listing/low,,,,,,
Golden Skywarden,High Seas,normal,SEA004,+21.9%,listing/low,,,,,,
Golden Tipple (Blue),High Seas,normal,SEA161,+0.0%,listing/low,,,,,,
Golden Tipple (Red),High Seas,normal,SEA159,+400.0%,listing/low,,,,,,
Golden Tipple (Yellow),High Seas,normal,SEA160,+400.0%,listing/low,,,,,,
Goldfin Harpoon,High Seas,normal,SEA093,+150.0%,listing/low,,,,,,
Goldwing Turbine (Blue),High Seas,normal,SEA038,-50.0%,listing/low,,,,,,
Goldwing Turbine (Red),High Seas,normal,SEA036,+0.0%,listing/low,,,,,,
Goldwing Turbine (Yellow),High Seas,normal,SEA037,+50.0%,listing/low,,,,,,
Head Shot (Blue),High Seas,normal,SEA113,+0.0%,listing/low,,,,,,
Head Shot (Red),High Seas,normal,SEA111,+0.0%,listing/low,,,,,,
Head Shot (Yellow),High Seas,normal,SEA112,-50.0%,listing/low,,,,,,
Head Stone,High Seas,normal,SEA081,+100.0%,listing/low,,,,,,
Heave Ho!,High Seas,normal,SEA057,+400.0%,listing/low,,,,,,
Helmsman's Peak,High Seas,normal,SEA180,+100.0%,listing/low,,,,,,
Herald of Sekem,High Seas,normal,SEA260,+155.6%,listing/low,,,,,,
HMS Barracuda,High Seas,normal,SEA134,+150.0%,listing/low,,,,,,
HMS Kraken,High Seas,normal,SEA135,+100.0%,listing/low,,,,,,
HMS Marlin,High Seas,normal,SEA136,+150.0%,listing/low,,,,,,
Hoist 'Em Up,High Seas,normal,SEA055,+150.0%,listing/low,,,,,,
Hook,High Seas,normal,SEA103,-50.0%,listing/low,,,,,,
Jack Be Nimble,High Seas,normal,SEA201,+466.7%,listing/low,,,,,,
Jack Be Quick,High Seas,normal,SEA202,+400.0%,listing/low,,,,,,
Jittery Bones (Blue),High Seas,normal,SEA070,+0.0%,listing/low,,,,,,
Jittery Bones (Red),High Seas,normal,SEA068,+0.0%,listing/low,,,,,,
Jittery Bones (Yellow),High Seas,normal,SEA069,+0.0%,listing/low,,,,,,
Jolly Bludger,High Seas,normal,SEA005,+109.8%,listing/low,,,,,,
"Kelpie, Tangled Mess",High Seas,normal,SEA059,+150.0%,listing/low,,,,,,
King Kraken Harpoon,High Seas,normal,SEA085,+488.2%,listing/low,,,,,,
King Shark Harpoon,High Seas,normal,SEA086,+334.8%,listing/low,,,,,,
Light Fingers,High Seas,normal,SEA184,+150.0%,listing/low,,,,,,
"Limpit, Hop-a-long",High Seas,normal,SEA060,-50.0%,listing/low,,,,,,
Line,High Seas,normal,SEA104,+150.0%,listing/low,,,,,,
Loan Shark,High Seas,normal,SEA131,+44.3%,listing/low,,,,,,
Lost in Transit,High Seas,normal,SEA151,-50.0%,listing/low,,,,,,
Lubricate,High Seas,normal,SEA022,-50.0%,listing/low,,,,,,
Midas Touch,High Seas,normal,SEA188,-12.5%,listing/low,,,,,,
Money or Your Life? (Blue),High Seas,normal,SEA205,-50.0%,listing/low,,,,,,
Money or Your Life? (Red),High Seas,normal,SEA203,+400.0%,listing/low,,,,,,
Money or Your Life? (Yellow),High Seas,normal,SEA204,+100.0%,listing/low,,,,,,
Monkey Powder,High Seas,normal,SEA102,-50.0%,listing/low,,,,,,
Moray le Fay,High Seas,normal,SEA051,+177.8%,listing/low,,,,,,
Murderous Rabble,High Seas,normal,SEA137,+2854.5%,listing/low,,,,,,
Mutiny on the Battalion Barque,High Seas,normal,SEA176,+0.0%,listing/low,,,,,,
Mutiny on the Nimbus Sovereign,High Seas,normal,SEA177,+0.0%,listing/low,,,,,,
Mutiny on the Swiftwater,High Seas,normal,SEA178,+0.0%,listing/low,,,,,,
Nettling Shot,High Seas,normal,SEA108,+0.0%,listing/low,,,,,,
Nimblism (Blue),High Seas,normal,SEA240,+0.0%,listing/low,,,,,,
Nimblism (Red),High Seas,normal,SEA238,,,,,,,,
Nimblism (Yellow),High Seas,normal,SEA239,+0.0%,listing/low,,,,,,
Nimby (Blue),High Seas,normal,SEA222,+150.0%,listing/low,,,,,,
Nimby (Red),High Seas,normal,SEA220,+100.0%,listing/low,,,,,,
Nimby (Yellow),High Seas,normal,SEA221,+0.0%,listing/low,,,,,,
Not So Fast,High Seas,normal,SEA149,+100.0%,listing/low,,,,,,
Old Knocker,High Seas,normal,SEA182,+350.0%,listing/low,,,,,,
On the Horizon (Blue),High Seas,normal,SEA243,+0.0%,listing/low,,,,,,
On the Horizon (Red),High Seas,normal,SEA241,+400.0%,listing/low,,,,,,
On the Horizon (Yellow),High Seas,normal,SEA242,-50.0%,listing/low,,,,,,
Onyx Amulet,High Seas,normal,SEA191,-35.0%,listing/low,,,,,,
Opal Amulet,High Seas,normal,SEA192,-16.4%,listing/low,,,,,,
Paddle Faster,High Seas,normal,SEA054,-50.0%,listing/low,,,,,,
Palantir Aeronought,High Seas,normal,SEA012,+53.8%,listing/low,,,,,,
Patch the Hole,High Seas,normal,SEA096,+50.0%,listing/low,,,,,,
Pearl Amulet,High Seas,normal,SEA193,+424.0%,listing/low,,,,,,
Peg Leg,High Seas,normal,SEA129,+50.0%,listing/low,,,,,,
Perk Up,High Seas,normal,SEA040,,,,,,,,
Pilfer the Wreck (Blue),High Seas,normal,SEA140,+150.0%,listing/low,,,,,,
Pilfer the Wreck (Red),High Seas,normal,SEA138,-50.0%,listing/low,,,,,,
Pilfer the Wreck (Yellow),High Seas,normal,SEA139,+250.0%,listing/low,,,,,,
Pinion Sentry,High Seas,normal,SEA023,+150.0%,listing/low,,,,,,
Platinum Amulet,High Seas,normal,SEA194,+118.6%,listing/low,,,,,,
Portside Exchange,High Seas,normal,SEA145,+1100.0%,listing/low,,,,,,
Pounamu Amulet,High Seas,normal,SEA195,-18.6%,listing/low,,,,,,
Preach Modesty,High Seas,normal,SEA252,+50.0%,listing/low,,,,,,
Quartermaster's Boots,High Seas,normal,SEA185,+150.0%,listing/low,,,,,,
Quick Clicks,High Seas,normal,SEA186,+150.0%,listing/low,,,,,,
Rally the Coast Guard (Blue),High Seas,normal,SEA225,+0.0%,listing/low,,,,,,
Rally the Coast Guard (Red),High Seas,normal,SEA223,+50.0%,listing/low,,,,,,
Rally the Coast Guard (Yellow),High Seas,normal,SEA224,+0.0%,listing/low,,,,,,
Red Fin Harpoon,High Seas,normal,SEA090,+400.0%,listing/low,,,,,,
Regain Composure,High Seas,normal,SEA210,+150.0%,listing/low,,,,,,
Restless Bones (Blue),High Seas,normal,SEA073,+0.0%,listing/low,,,,,,
Restless Bones (Red),High Seas,normal,SEA071,+0.0%,listing/low,,,,,,
Restless Bones (Yellow),High Seas,normal,SEA072,-50.0%,listing/low,,,,,,
Return Fire,High Seas,normal,SEA099,+482.4%,listing/low,,,,,,
Riddle with Regret,High Seas,normal,SEA256,+320.0%,listing/low,,,,,,
Riggermortis,High Seas,normal,SEA077,+150.0%,listing/low,,,,,,
Ruby Amulet,High Seas,normal,SEA196,-2.9%,listing/low,,,,,,
Rust Belt,High Seas,normal,SEA009,+50.0%,listing/low,,,,,,
Rusty Harpoon,High Seas,normal,SEA092,+0.0%,listing/low,,,,,,
Saltwater Swell (Blue),High Seas,normal,SEA143,+2400.0%,listing/low,,,,,,
Saltwater Swell (Red),High Seas,normal,SEA141,+1000.0%,listing/low,,,,,,
Saltwater Swell (Yellow),High Seas,normal,SEA142,-50.0%,listing/low,,,,,,
Salvage Shot (Blue),High Seas,normal,SEA116,+0.0%,listing/low,,,,,,
Salvage Shot (Red),High Seas,normal,SEA114,+0.0%,listing/low,,,,,,
Salvage Shot (Yellow),High Seas,normal,SEA115,-50.0%,listing/low,,,,,,
Sapphire Amulet,High Seas,normal,SEA197,-34.6%,listing/low,,,,,,
"Scooba, Salty Sea Dog",High Seas,normal,SEA061,+900.0%,listing/low,,,,,,
Scouting Shot,High Seas,normal,SEA109,+0.0%,listing/low,,,,,,
Scrub the Deck,High Seas,normal,SEA147,-50.0%,listing/low,,,,,,
"Scurv, Stowaway",High Seas,normal,SEA123,+400.0%,listing/low,,,,,,
Sea Floor Salvage,High Seas,normal,SEA146,+460.0%,listing/low,,,,,,
Sea Legs,High Seas,normal,SEA187,-22.3%,listing/low,,,,,,
"Shelly, Hardened Traveler",High Seas,normal,SEA078,,,,,,,,
Shifting Tides,High Seas,normal,SEA148,+100.0%,listing/low,,,,,,
Sic 'Em Shot (Blue),High Seas,normal,SEA119,+0.0%,listing/low,,,,,,
Sic 'Em Shot (Red),High Seas,normal,SEA117,+0.0%,listing/low,,,,,,
Sic 'Em Shot (Yellow),High Seas,normal,SEA118,-50.0%,listing/low,,,,,,
Sinker,High Seas,normal,SEA105,+400.0%,listing/low,,,,,,
Sirens of Safe Harbor (Blue),High Seas,normal,SEA228,+700.0%,listing/low,,,,,,
Sirens of Safe Harbor (Red),High Seas,normal,SEA226,+2300.0%,listing/low,,,,,,
Sirens of Safe Harbor (Yellow),High Seas,normal,SEA227,+400.0%,listing/low,,,,,,
Sky Skimmer (Blue),High Seas,normal,SEA029,+0.0%,listing/low,,,,,,
Sky Skimmer (Red),High Seas,normal,SEA027,+0.0%,listing/low,,,,,,
Sky Skimmer (Yellow),High Seas,normal,SEA028,+0.0%,listing/low,,,,,,
Strike Gold (Blue),High Seas,normal,SEA231,+50.0%,listing/low,,,,,,
Strike Gold (Red),High Seas,normal,SEA229,+0.0%,listing/low,,,,,,
Strike Gold (Yellow),High Seas,normal,SEA230,+0.0%,listing/low,,,,,,
Sunken Treasure,High Seas,normal,SEA133,+34.2%,listing/low,,,,,,
Surface Shaking,High Seas,normal,SEA251,-60.9%,listing/low,,,,,,
Swabbie,High Seas,normal,SEA079,+350.0%,listing/low,,,,,,
Swift Shot,High Seas,normal,SEA110,+150.0%,listing/low,,,,,,
Swiftstrike Bracers,High Seas,normal,SEA183,+50.0%,listing/low,,,,,,
Swiftwater Sloop (Blue),High Seas,normal,SEA168,+0.0%,listing/low,,,,,,
Swiftwater Sloop (Red),High Seas,normal,SEA166,+150.0%,listing/low,,,,,,
Swiftwater Sloop (Yellow),High Seas,normal,SEA167,+0.0%,listing/low,,,,,,
Swindler's Grift (Blue),High Seas,normal,SEA171,+0.0%,listing/low,,,,,,
Swindler's Grift (Red),High Seas,normal,SEA169,+0.0%,listing/low,,,,,,
Swindler's Grift (Yellow),High Seas,normal,SEA170,+0.0%,listing/low,,,,,,
Teeth of the Cog (Blue),High Seas,normal,SEA032,+0.0%,listing/low,,,,,,
Teeth of the Cog (Red),High Seas,normal,SEA030,+50.0%,listing/low,,,,,,
Teeth of the Cog (Yellow),High Seas,normal,SEA031,+0.0%,listing/low,,,,,,
Thiev'n Varmints,High Seas,normal,SEA172,+0.0%,listing/low,,,,,,
Throw Caution to the Wind,High Seas,normal,SEA150,+650.0%,listing/low,,,,,,
Tighten the Screws,High Seas,normal,SEA041,+150.0%,listing/low,,,,,,
Tip the Barkeep,High Seas,normal,SEA132,+118.7%,listing/low,,,,,,
Tit for Tat,High Seas,normal,SEA211,-16.7%,listing/low,,,,,,
Tough Old Wrench (Blue),High Seas,normal,SEA035,-50.0%,listing/low,,,,,,
Tough Old Wrench (Red),High Seas,normal,SEA033,+0.0%,listing/low,,,,,,
Tough Old Wrench (Yellow),High Seas,normal,SEA034,-50.0%,listing/low,,,,,,
Trade In (Blue),High Seas,normal,SEA234,+150.0%,listing/low,,,,,,
Trade In (Red),High Seas,normal,SEA232,+0.0%,listing/low,,,,,,
Trade In (Yellow),High Seas,normal,SEA233,+0.0%,listing/low,,,,,,
Undercover Acquisition,High Seas,normal,SEA249,+21.7%,listing/low,,,,,,
Unicycle,High Seas,normal,SEA010,+150.0%,listing/low,,,,,,
Wailer Humperdinck,High Seas,normal,SEA052,+17.4%,listing/low,,,,,,
Walk the Plank (Blue),High Seas,normal,SEA237,+0.0%,listing/low,,,,,,
Walk the Plank (Red),High Seas,normal,SEA235,+0.0%,listing/low,,,,,,
Walk the Plank (Yellow),High Seas,normal,SEA236,+0.0%,listing/low,,,,,,
Washed Up Wave,High Seas,normal,SEA046,+150.0%,listing/low,,,,,,
Yellow Fin Harpoon,High Seas,normal,SEA091,+100.0%,listing/low,,,,,,
Yo Ho Ho!,High Seas,normal,SEA058,+150.0%,listing/low,,,,,,
"Anka, Drag Under",Armory Deck: Gravy Bones,normal,,+27.3%,listing/low,,,,,,
Avast Ye!,Armory Deck: Gravy Bones,normal,,+2200.0%,listing/low,,,,,,
Back Alley Breakline (Blue),Armory Deck: Gravy Bones,normal,,+148.1%,listing/low,,,,,,
Barnacle,Armory Deck: Gravy Bones,normal,,+650.0%,listing/low,,,,,,
Battalion Barque (Red),Armory Deck: Gravy Bones,normal,,+450.0%,listing/low,,,,,,
Call to the Grave,Armory Deck: Gravy Bones,normal,,+7.1%,listing/low,,,,,,
Fiddler's Green (Red),Armory Deck: Gravy Bones,normal,,+900.0%,listing/low,,,,,,
Golden Tipple (Blue),Armory Deck: Gravy Bones,normal,,+750.0%,listing/low,,,,,,
