# ratio: cardmarket / tcgplayer
# fx: 1 EUR = 1.143 USD (ECB 2026-07-10)
Name,Set,Finish,Code,NM,NM Basis,SP/LP,SP/LP Basis,MP,MP Basis,HP,HP Basis
Gold Hunter Marauder,High Seas,normal,SEA164,+0.0%,low/listing,,,,,,
Gold the Tip,High Seas,normal,SEA088,-23.2%,low/listing,,,,,,
Golden Skywarden,High Seas,normal,SEA004,-18.0%,low/listing,,,,,,
Golden Tipple (Blue),High Seas,normal,SEA161,+0.0%,low/listing,,,,,,
Golden Tipple (Red),High Seas,normal,SEA159,-80.0%,low/listing,,,,,,
Golden Tipple (Yellow),High Seas,normal,SEA160,-80.0%,low/listing,,,,,,
Goldfin Harpoon,High Seas,normal,SEA093,-60.0%,low/listing,,,,,,
Goldwing Turbine (Blue),High Seas,normal,SEA038,+100.0%,low/listing,,,,,,
Goldwing Turbine (Red),High Seas,normal,SEA036,+0.0%,low/listing,,,,,,
Goldwing Turbine (Yellow),High Seas,normal,SEA037,-33.3%,low/listing,,,,,,
Head Shot (Blue),High Seas,normal,SEA113,+0.0%,low/listing,,,,,,
Head Shot (Red),High Seas,normal,SEA111,+0.0%,low/listing,,,,,,
Head Shot (Yellow),High Seas,normal,SEA112,+100.0%,low/listing,,,,,,
Head Stone,High Seas,normal,SEA081,-50.0%,low/listing,,,,,,
Heave Ho!,High Seas,normal,SEA057,-80.0%,low/listing,,,,,,
Helmsman's Peak,High Seas,normal,SEA180,-50.0%,low/listing,,,,,,
Herald of Sekem,High Seas,normal,SEA260,-60.9%,low/listing,,,,,,
HMS Barracuda,High Seas,normal,SEA134,-60.0%,low/listing,,,,,,
HMS Kraken,High Seas,normal,SEA135,-50.0%,low/listing,,,,,,
HMS Marlin,High Seas,normal,SEA136,-60.0%,low/listing,,,,,,
Hoist 'Em Up,High Seas,normal,SEA055,-60.0%,low/listing,,,,,,
Hook,High Seas,normal,SEA103,+100.0%,low/listing,,,,,,
Jack Be Nimble,High Seas,normal,SEA201,-82.4%,low/listing,,,,,,
Jack Be Quick,High Seas,normal,SEA202,-80.0%,low/listing,,,,,,
Jittery Bones (Blue),High Seas,normal,SEA070,+0.0%,low/listing,,,,,,
Jittery Bones (Red),High Seas,normal,SEA068,+0.0%,low/listing,,,,,,
Jittery Bones (Yellow),High Seas,normal,SEA069,+0.0%,low/listing,,,,,,
Jolly Bludger,High Seas,normal,SEA005,-52.3%,low/listing,,,,,,
"Kelpie, Tangled Mess",High Seas,normal,SEA059,-60.0%,low/listing,,,,,,
King Kraken Harpoon,High Seas,normal,SEA085,-83.0%,low/listing,,,,,,
King Shark Harpoon,High Seas,normal,SEA086,-77.0%,low/listing,,,,,,
Light Fingers,High Seas,normal,SEA184,-60.0%,low/listing,,,,,,
"Limpit, Hop-a-long",High Seas,normal,SEA060,+100.0%,low/listing,,,,,,
Line,High Seas,normal,SEA104,-60.0%,low/listing,,,,,,
Loan Shark,High Seas,normal,SEA131,-30.7%,low/listing,,,,,,
Lost in Transit,High Seas,normal,SEA151,+100.0%,low/listing,,,,,,
Lubricate,High Seas,normal,SEA022,+100.0%,low/listing,,,,,,
Midas Touch,High Seas,normal,SEA188,+14.3%,low/listing,,,,,,
Money or Your Life? (Blue),High Seas,normal,SEA205,+100.0%,low/listing,,,,,,
Money or Your Life? (Red),High Seas,normal,SEA203,-80.0%,low/listing,,,,,,
Money or Your Life? (Yellow),High Seas,normal,SEA204,-50.0%,low/listing,,,,,,
Monkey Powder,High Seas,normal,SEA102,+100.0%,low/listing,,,,,,
Moray le Fay,High Seas,normal,SEA051,-64.0%,low/listing,,,,,,
Murderous Rabble,High Seas,normal,SEA137,-96.6%,low/listing,,,,,,
Mutiny on the Battalion Barque,High Seas,normal,SEA176,+0.0%,low/listing,,,,,,
Mutiny on the Nimbus Sovereign,High Seas,normal,SEA177,+0.0%,low/listing,,,,,,
Mutiny on the Swiftwater,High Seas,normal,SEA178,+0.0%,low/listing,,,,,,
Nettling Shot,High Seas,normal,SEA108,+0.0%,low/listing,,,,,,
Nimblism (Blue),High Seas,normal,SEA240,+0.0%,low/listing,,,,,,
Nimblism (Red),High Seas,normal,SEA238,,,,,,,,
Nimblism (Yellow),High Seas,normal,SEA239,+0.0%,low/listing,,,,,,
Nimby (Blue),High Seas,normal,SEA222,-60.0%,low/listing,,,,,,
Nimby (Red),High Seas,normal,SEA220,-50.0%,low/listing,,,,,,
Nimby (Yellow),High Seas,normal,SEA221,+0.0%,low/listing,,,,,,
Not So Fast,High Seas,normal,SEA149,-50.0%,low/listing,,,,,,
Old Knocker,High Seas,normal,SEA182,-77.8%,low/listing,,,,,,
On the Horizon (Blue),High Seas,normal,SEA243,+0.0%,low/listing,,,,,,
On the Horizon (Red),High Seas,normal,SEA241,-80.0%,low/listing,,,,,,
On the Horizon (Yellow),High Seas,normal,SEA242,+100.0%,low/listing,,,,,,
Onyx Amulet,High Seas,normal,SEA191,+53.7%,low/listing,,,,,,
Opal Amulet,High Seas,normal,SEA192,+19.5%,low/listing,,,,,,
Paddle Faster,High Seas,normal,SEA054,+100.0%,low/listing,,,,,,
Palantir Aeronought,High Seas,normal,SEA012,-35.0%,low/listing,,,,,,
Patch the Hole,High Seas,normal,SEA096,-33.3%,low/listing,,,,,,
Pearl Amulet,High Seas,normal,SEA193,-80.9%,low/listing,,,,,,
Peg Leg,High Seas,normal,SEA129,-33.3%,low/listing,,,,,,
Perk Up,High Seas,normal,SEA040,,,,,,,,
Pilfer the Wreck (Blue),High Seas,normal,SEA140,-60.0%,low/listing,,,,,,
Pilfer the Wreck (Red),High Seas,normal,SEA138,+100.0%,low/listing,,,,,,
Pilfer the Wreck (Yellow),High Seas,normal,SEA139,-71.4%,low/listing,,,,,,
Pinion Sentry,High Seas,normal,SEA023,-60.0%,low/listing,,,,,,
Platinum Amulet,High Seas,normal,SEA194,-54.3%,low/listing,,,,,,
Portside Exchange,High Seas,normal,SEA145,-91.7%,low/listing,,,,,,
Pounamu Amulet,High Seas,normal,SEA195,+22.8%,low/listing,,,,,,
Preach Modesty,High Seas,normal,SEA252,-33.3%,low/listing,,,,,,
Quartermaster's Boots,High Seas,normal,SEA185,-60.0%,low/listing,,,,,,
Quick Clicks,High Seas,normal,SEA186,-60.0%,low/listing,,,,,,
Rally the Coast Guard (Blue),High Seas,normal,SEA225,+0.0%,low/listing,,,,,,
Rally the Coast Guard (Red),High Seas,normal,SEA223,-33.3%,low/listing,,,,,,
Rally the Coast Guard (Yellow),High Seas,normal,SEA224,+0.0%,low/listing,,,,,,
Red Fin Harpoon,High Seas,normal,SEA090,-80.0%,low/listing,,,,,,
Regain Composure,High Seas,normal,SEA210,-60.0%,low/listing,,,,,,
Restless Bones (Blue),High Seas,normal,SEA073,+0.0%,low/listing,,,,,,
Restless Bones (Red),High Seas,normal,SEA071,+0.0%,low/listing,,,,,,
Restless Bones (Yellow),High Seas,normal,SEA072,+100.0%,low/listing,,,,,,
Return Fire,High Seas,normal,SEA099,-82.8%,low/listing,,,,,,
Riddle with Regret,High Seas,normal,SEA256,-76.2%,low/listing,,,,,,
Riggermortis,High Seas,normal,SEA077,-60.0%,low/listing,,,,,,
Ruby Amulet,High Seas,normal,SEA196,+3.0%,low/listing,,,,,,
Rust Belt,High Seas,normal,SEA009,-33.3%,low/listing,,,,,,
Rusty Harpoon,High Seas,normal,SEA092,+0.0%,low/listing,,,,,,
Saltwater Swell (Blue),High Seas,normal,SEA143,-96.0%,low/listing,,,,,,
Saltwater Swell (Red),High Seas,normal,SEA141,-90.9%,low/listing,,,,,,
Saltwater Swell (Yellow),High Seas,normal,SEA142,+100.0%,low/listing,,,,,,
Salvage Shot (Blue),High Seas,normal,SEA116,+0.0%,low/listing,,,,,,
Salvage Shot (Red),High Seas,normal,SEA114,+0.0%,low/listing,,,,,,
Salvage Shot (Yellow),High Seas,normal,SEA115,+100.0%,low/listing,,,,,,
Sapphire Amulet,High Seas,normal,SEA197,+52.8%,low/listing,,,,,,
"Scooba, Salty Sea Dog",High Seas,normal,SEA061,-90.0%,low/listing,,,,,,
Scouting Shot,High Seas,normal,SEA109,+0.0%,low/listing,,,,,,
Scrub the Deck,High Seas,normal,SEA147,+100.0%,low/listing,,,,,,
"Scurv, Stowaway",High Seas,normal,SEA123,-80.0%,low/listing,,,,,,
Sea Floor Salvage,High Seas,normal,SEA146,-82.1%,low/listing,,,,,,
Sea Legs,High Seas,normal,SEA187,+28.7%,low/listing,,,,,,
"Shelly, Hardened Traveler",High Seas,normal,SEA078,,,,,,,,
Shifting Tides,High Seas,normal,SEA148,-50.0%,low/listing,,,,,,
Sic 'Em Shot (Blue),High Seas,normal,SEA119,+0.0%,low/listing,,,,,,
Sic 'Em Shot (Red),High Seas,normal,SEA117,+0.0%,low/listing,,,,,,
Sic 'Em Shot (Yellow),High Seas,normal,SEA118,+100.0%,low/listing,,,,,,
Sinker,High Seas,normal,SEA105,-80.0%,low/listing,,,,,,
Sirens of Safe Harbor (Blue),High Seas,normal,SEA228,-87.5%,low/listing,,,,,,
Sirens of Safe Harbor (Red),High Seas,normal,SEA226,-95.8%,low/listing,,,,,,
Sirens of Safe Harbor (Yellow),High Seas,normal,SEA227,-80.0%,low/listing,,,,,,
Sky Skimmer (Blue),High Seas,normal,SEA029,+0.0%,low/listing,,,,,,
Sky Skimmer (Red),High Seas,normal,SEA027,+0.0%,low/listing,,,,,,
Sky Skimmer (Yellow),High Seas,normal,SEA028,+0.0%,low/listing,,,,,,
Strike Gold (Blue),High Seas,normal,SEA231,-33.3%,low/listing,,,,,,
Strike Gold (Red),High Seas,normal,SEA229,+0.0%,low/listing,,,,,,
Strike Gold (Yellow),High Seas,normal,SEA230,+0.0%,low/listing,,,,,,
Sunken Treasure,High Seas,normal,SEA133,-25.5%,low/listing,,,,,,
Surface Shaking,High Seas,normal,SEA251,+155.6%,low/listing,,,,,,
Swabbie,High Seas,normal,SEA079,-77.8%,low/listing,,,,,,
Swift Shot,High Seas,normal,SEA110,-60.0%,low/listing,,,,,,
Swiftstrike Bracers,High Seas,normal,SEA183,-33.3%,low/listing,,,,,,
Swiftwater Sloop (Blue),High Seas,normal,SEA168,+0.0%,low/listing,,,,,,
Swiftwater Sloop (Red),High Seas,normal,SEA166,-60.0%,low/listing,,,,,,
Swiftwater Sloop (Yellow),High Seas,normal,SEA167,+0.0%,low/listing,,,,,,
Swindler's Grift (Blue),High Seas,normal,SEA171,+0.0%,low/listing,,,,,,
Swindler's Grift (Red),High Seas,normal,SEA169,+0.0%,low/listing,,,,,,
Swindler's Grift (Yellow),High Seas,normal,SEA170,+0.0%,low/listing,,,,,,
Teeth of the Cog (Blue),High Seas,normal,SEA032,+0.0%,low/listing,,,,,,
Teeth of the Cog (Red),High Seas,normal,SEA030,-33.3%,low/listing,,,,,,
Teeth of the Cog (Yellow),High Seas,normal,SEA031,+0.0%,low/listing,,,,,,
Thiev'n Varmints,High Seas,normal,SEA172,+0.0%,low/listing,,,,,,
Throw Caution to the Wind,High Seas,normal,SEA150,-86.7%,low/listing,,,,,,
Tighten the Screws,High Seas,normal,SEA041,-60.0%,low/listing,,,,,,
Tip the Barkeep,High Seas,normal,SEA132,-54.3%,low/listing,,,,,,
Tit for Tat,High Seas,normal,SEA211,+20.0%,low/listing,,,,,,
Tough Old Wrench (Blue),High Seas,normal,SEA035,+100.0%,low/listing,,,,,,
Tough Old Wrench (Red),High Seas,normal,SEA033,+0.0%,low/listing,,,,,,
Tough Old Wrench (Yellow),High Seas,normal,SEA034,+100.0%,low/listing,,,,,,
Trade In (Blue),High Seas,normal,SEA234,-60.0%,low/listing,,,,,,
Trade In (Red),High Seas,normal,SEA232,+0.0%,low/listing,,,,,,
Trade In (Yellow),High Seas,normal,SEA233,+0.0%,low/listing,,,,,,
Undercover Acquisition,High Seas,normal,SEA249,-17.9%,low/listing,,,,,,
Unicycle,High Seas,normal,SEA010,-60.0%,low/listing,,,,,,
Wailer Humperdinck,High Seas,normal,SEA052,-14.8%,low/listing,,,,,,
Walk the Plank (Blue),High Seas,normal,SEA237,+0.0%,low/listing,,,,,,
Walk the Plank (Red),High Seas,normal,SEA235,+0.0%,low/listing,,,,,,
Walk the Plank (Yellow),High Seas,normal,SEA236,+0.0%,low/listing,,,,,,
Washed Up Wave,High Seas,normal,SEA046,-60.0%,low/listing,,,,,,
Yellow Fin Harpoon,High Seas,normal,SEA091,-50.0%,low/listing,,,,,,
Yo Ho Ho!,High Seas,normal,SEA058,-60.0%,low/listing,,,,,,
"Anka, Drag Under",Armory Deck: Gravy Bones,normal,,-21.4%,low/listing,,,,,,
Avast Ye!,Armory Deck: Gravy Bones,normal,,-95.7%,low/listing,,,,,,
Back Alley Breakline (Blue),Armory Deck: Gravy Bones,normal,,-59.7%,low/listing,,,,,,
Barnacle,Armory Deck: Gravy Bones,normal,,-86.7%,low/listing,,,,,,
Battalion Barque (Red),Armory Deck: Gravy Bones,normal,,-81.8%,low/listing,,,,,,
Call to the Grave,Armory Deck: Gravy Bones,normal,,-6.7%,low/listing,,,,,,
Fiddler's Green (Red),Armory Deck: Gravy Bones,normal,,-90.0%,low/listing,,,,,,
Golden Tipple (Blue),Armory Deck: Gravy Bones,normal,,-88.2%,low/listing,,,,,,
"Gravy Bones, Shipwrecked Looter",Armory Deck: Gravy Bones,normal,,-44.3%,low/listing,,,,,,
Jittery Bones (Blue),Armory Deck: Gravy Bones,normal,,-88.2%,low/listing,,,,,,
Jittery Bones (Red),Armory Deck: Gravy Bones,normal,,-91.3%,low/listing,,,,,,
"Limpit, Hop-a-long",Armory Deck: Gravy Bones,normal,,-92.6%,low/listing,,,,,,
Loot the Arsenal,Armory Deck: Gravy Bones,normal,,-56.0%,low/listing,,,,,,
Loot the Hold,Armory Deck: Gravy Bones,normal,,-63.0%,low/listing,,,,,,
Murderous Rabble,Armory Deck: Gravy Bones,normal,,-85.7%,low/listing,,,,,,
"Oysten, Heart of Gold",Armory Deck: Gravy Bones,normal,,-77.6%,low/listing,,,,,,
Paddle Faster,Armory Deck: Gravy Bones,normal,,-91.3%,low/listing,,,,,,
Portside Exchange,Armory Deck: Gravy Bones,normal,,-74.3%,low/listing,,,,,,
Restless Bones (Blue),Armory Deck: Gravy Bones,normal,,-71.4%,low/listing,,,,,,
Restless Bones (Red),Armory Deck: Gravy Bones,normal,,-90.0%,low/listing,,,,,,
Riggermortis,Armory Deck: Gravy Bones,normal,,-66.7%,low/listing,,,,,,
Scar for a Scar (Red),Armory Deck: Gravy Bones,normal,,-89.5%,low/listing,,,,,,
Timesnap Potion,Armory Deck: Gravy Bones,normal,,-87.1%,low/listing,,,,,,
Banksy,Armory Deck: Maxx Nitro,normal,,-72.4%,low/listing,,,,,,
Big Bertha (Blue),Armory Deck: Maxx Nitro,normal,,-26.7%,low/listing,,,,,,
Clamp Press,Armory Deck: Maxx Nitro,normal,,-64.6%,low/listing,,,,,,
Crankshaft (Blue),Armory Deck: Maxx Nitro,normal,,-26.7%,low/listing,,,,,,
Crankshaft (Red),Armory Deck: Maxx Nitro,normal,,-26.7%,low/listing,,,,,,
Crankshaft (Yellow),Armory Deck: Maxx Nitro,normal,,-40.0%,low/listing,,,,,,
Data Link (Red),Armory Deck: Maxx Nitro,normal,,-26.7%,low/listing,,,,,,
Expedite (Red),Armory Deck: Maxx Nitro,normal,,-62.1%,low/listing,,,,,,
Heist,Armory Deck: Maxx Nitro,normal,,-27.6%,low/listing,,,,,,
Hyper Driver,Armory Deck: Maxx Nitro,normal,,-80.0%,low/listing,,,,,,
Hyper Driver (Blue),Armory Deck: Maxx Nitro,normal,,-26.7%,low/listing,,,,,,
Hyper Driver (Red),Armory Deck: Maxx Nitro,normal,,-26.7%,low/listing,,,,,,
Hyper Driver (Yellow),Armory Deck: Maxx Nitro,normal,,-26.7%,low/listing,,,,,,
Jump Start (Red),Armory Deck: Maxx Nitro,normal,,-26.7%,low/listing,,,,,,
Maxx 'The Hype' Nitro,Armory Deck: Maxx Nitro,normal,,-56.0%,low/listing,,,,,,
Sprocket Rocket (Red),Armory Deck: Maxx Nitro,normal,,-26.7%,low/listing,,,,,,
T-Bone (Red),Armory Deck: Maxx Nitro,normal,,+32.8%,low/listing,,,,,,
Throttle (Red),Armory Deck: Maxx Nitro,normal,,-26.7%,low/listing,,,,,,
Twintek Charging Station,Armory Deck: Maxx Nitro,normal,,-33.8%,low/listing,,,,,,
Zero to Fifty (Red),Armory Deck: Maxx Nitro,normal,,-86.7%,low/listing,,,,,,
Zero to Sixty (Red),Armory Deck: Maxx Nitro,normal,,-26.7%,low/listing,,,,,,
Zero to Sixty (Yellow),Armory Deck: Maxx Nitro,normal,,-26.7%,low/listing,,,,,,
Zipper Hit (Red),Armory Deck: Maxx Nitro,normal,,-26.7%,low/listing,,,,,,
Arc Lightning,Armory Deck: Aurora,normal,,-85.7%,low/listing,,,,,,
Arcanic Crackle (Blue),Armory Deck: Aurora,normal,,-77.8%,low/listing,,,,,,
Arcanic Crackle (Red),Armory Deck: Aurora,normal,,-26.7%,low/listing,,,,,,
Arcanic Shockwave (Red),Armory Deck: Aurora,normal,,-86.7%,low/listing,,,,,,
"Aurora, Shooting Star",Armory Deck: Aurora,normal,,-4.2%,low/listing,,,,,,
Burn Up // Shock,Armory Deck: Aurora,normal,,-68.6%,low/listing,,,,,,
Captain's Call (Blue),Armory Deck: Aurora,normal,,-38.9%,low/listing,,,,,,
Electromagnetic Somersault (Red),Armory Deck: Aurora,normal,,-8.0%,low/listing,,,,,,
Electrostatic Discharge (Red),Armory Deck: Aurora,normal,,-86.7%,low/listing,,,,,,
Entwine Lightning (Red),Armory Deck: Aurora,normal,,-86.7%,low/listing,,,,,,
Flittering Charge (Red),Armory Deck: Aurora,normal,,-86.7%,low/listing,,,,,,
Heaven's Claws (Blue),Armory Deck: Aurora,normal,,-92.0%,low/listing,,,,,,
Lightning Press (Red),Armory Deck: Aurora,normal,,-56.2%,low/listing,,,,,,
Lightning Surge (Red),Armory Deck: Aurora,normal,,-86.7%,low/listing,,,,,,
Photon Rush (Red),Armory Deck: Aurora,normal,,-56.0%,low/listing,,,,,,
Sizzle (Red),Armory Deck: Aurora,normal,,-67.6%,low/listing,,,,,,
Skyward Serenade,Armory Deck: Aurora,normal,,-65.7%,low/listing,,,,,,
Skyzyk,Armory Deck: Aurora,normal,,-49.8%,low/listing,,,,,,
Snatch (Red),Armory Deck: Aurora,normal,,-60.4%,low/listing,,,,,,
Spark Spray (Red),Armory Deck: Aurora,normal,,-54.8%,low/listing,,,,,,
Star Fall,Armory Deck: Aurora,normal,,-56.0%,low/listing,,,,,,
Static Shock (Red),Armory Deck: Aurora,normal,,-74.7%,low/listing,,,,,,
Written in the Stars,Armory Deck: Aurora,normal,,-84.5%,low/listing,,,,,,
Agility Stance,The Hunted,normal,HNT125,-71.4%,low/listing,,,,,,
Anaphylactic Shock,The Hunted,normal,HNT016,-42.1%,low/listing,,,,,,
"Arakni, Marionette",The Hunted,normal,HNT001,-57.5%,low/listing,,,,,,
Art of the Dragon: Blood,The Hunted,normal,HNT071,-38.7%,low/listing,,,,,,
Art of the Dragon: Claw,The Hunted,normal,HNT074,-86.7%,low/listing,,,,,,
Art of the Dragon: Fire,The Hunted,normal,HNT075,-96.6%,low/listing,,,,,,
Art of the Dragon: Scale,The Hunted,normal,HNT076,-91.3%,low/listing,,,,,,
Back Stab (Red),The Hunted,normal,HNT029,-77.8%,low/listing,,,,,,
Bite (Blue),The Hunted,normal,HNT019,-83.3%,low/listing,,,,,,
Bite (Red),The Hunted,normal,HNT017,-80.0%,low/listing,,,,,,
Bite (Yellow),The Hunted,normal,HNT018,-77.8%,low/listing,,,,,,
Blade Beckoner Boots,The Hunted,normal,HNT219,-67.6%,low/listing,,,,,,
Blade Beckoner Gauntlets,The Hunted,normal,HNT218,-55.8%,low/listing,,,,,,
Blade Beckoner Helm,The Hunted,normal,HNT216,-74.2%,low/listing,,,,,,
Blade Beckoner Plating,The Hunted,normal,HNT217,-93.4%,low/listing,,,,,,
Blood Runs Deep,The Hunted,normal,HNT057,+65.4%,low/listing,,,,,,
Bunker Beard,The Hunted,normal,HNT220,,,,,,,,
Calming Breeze,The Hunted,normal,HNT230,-84.2%,low/listing,,,,,,
Chain Reaction,The Hunted,normal,HNT253,-21.6%,low/listing,,,,,,
Cinderskin Devotion (Red),The Hunted,normal,HNT065,-60.0%,low/listing,,,,,,
"Cindra, Dracai of Retribution",The Hunted,normal,HNT054,-26.7%,low/listing,,,,,,
Coat of Allegiance,The Hunted,normal,HNT148,-50.0%,low/listing,,,,,,
Command and Conquer,The Hunted,normal,HNT260,+3.8%,low/listing,,,,,,
Cracked Bauble,The Hunted,normal,HNT245,-66.7%,low/listing,,,,,,
Cull,The Hunted,normal,HNT259,+25.1%,low/listing,,,,,,
Cut Deep (Blue),The Hunted,normal,HNT130,-60.0%,low/listing,,,,,,
Cut Deep (Red),The Hunted,normal,HNT128,-60.0%,low/listing,,,,,,
Cut Deep (Yellow),The Hunted,normal,HNT129,-60.0%,low/listing,,,,,,
Cut from the Same Cloth (Blue),The Hunted,normal,HNT204,-33.3%,low/listing,,,,,,
Cut from the Same Cloth (Red),The Hunted,normal,HNT202,-96.0%,low/listing,,,,,,
Cut from the Same Cloth (Yellow),The Hunted,normal,HNT203,-80.0%,low/listing,,,,,,
Cut Through (Blue),The Hunted,normal,HNT178,-60.0%,low/listing,,,,,,
Cut Through (Red),The Hunted,normal,HNT176,-93.5%,low/listing,,,,,,
Cut Through (Yellow),The Hunted,normal,HNT177,-80.0%,low/listing,,,,,,
Danger Digits,The Hunted,normal,HNT173,-77.8%,low/listing,,,,,,
Defang the Dragon,The Hunted,normal,HNT030,-33.3%,low/listing,,,,,,
Devotion Never Dies,The Hunted,normal,HNT072,-51.1%,low/listing,,,,,,
Diced (Blue),The Hunted,normal,HNT121,-60.0%,low/listing,,,,,,
Diced (Red),The Hunted,normal,HNT119,-60.0%,low/listing,,,,,,
Diced (Yellow),The Hunted,normal,HNT120,-80.0%,low/listing,,,,,,
Douse in Runeblood,The Hunted,normal,HNT254,-90.2%,low/listing,,,,,,
Dragon Power (Blue),The Hunted,normal,HNT079,-86.7%,low/listing,,,,,,
Dragon Power (Red),The Hunted,normal,HNT077,-80.0%,low/listing,,,,,,
Dragon Power (Yellow),The Hunted,normal,HNT078,-80.0%,low/listing,,,,,,
Dual Threat,The Hunted,normal,HNT223,-3.9%,low/listing,,,,,,
Dust Runner Outlaw (Red),The Hunted,normal,HNT066,+100.0%,low/listing,,,,,,
Enchanted Quiver,The Hunted,normal,HNT252,-86.6%,low/listing,,,,,,
Extinguish the Flames,The Hunted,normal,HNT031,-75.0%,low/listing,,,,,,
"Fang, Dracai of Blades",The Hunted,normal,HNT098,-70.0%,low/listing,,,,,,
Fealty,The Hunted,normal,HNT167,-82.5%,low/listing,,,,,,
Fire and Brimstone,The Hunted,normal,HNT105,-86.7%,low/listing,,,,,,
Fire Tenet: Strike First (Blue),The Hunted,normal,HNT085,-60.0%,low/listing,,,,,,
Fire Tenet: Strike First (Red),The Hunted,normal,HNT083,-60.0%,low/listing,,,,,,
Fire Tenet: Strike First (Yellow),The Hunted,normal,HNT084,-75.0%,low/listing,,,,,,
Flurry Stance,The Hunted,normal,HNT126,-80.0%,low/listing,,,,,,
For the Dracai,The Hunted,normal,HNT158,-80.0%,low/listing,,,,,,
For the Emperor,The Hunted,normal,HNT159,-50.0%,low/listing,,,,,,
For the Realm,The Hunted,normal,HNT160,-60.0%,low/listing,,,,,,
Grow Claws (Blue),The Hunted,normal,HNT088,-60.0%,low/listing,,,,,,
Grow Claws (Red),The Hunted,normal,HNT086,-60.0%,low/listing,,,,,,
Grow Claws (Yellow),The Hunted,normal,HNT087,+100.0%,low/listing,,,,,,
Grow Wings (Blue),The Hunted,normal,HNT091,-60.0%,low/listing,,,,,,
Grow Wings (Red),The Hunted,normal,HNT089,-60.0%,low/listing,,,,,,
Grow Wings (Yellow),The Hunted,normal,HNT090,-75.0%,low/listing,,,,,,
Hand of Vengeance,The Hunted,normal,HNT146,-60.0%,low/listing,,,,,,
Heart of Vengeance,The Hunted,normal,HNT145,-60.0%,low/listing,,,,,,
Hunt a Killer (Blue),The Hunted,normal,HNT133,-60.0%,low/listing,,,,,,
Hunt a Killer (Red),The Hunted,normal,HNT131,,,,,,,,
Hunt a Killer (Yellow),The Hunted,normal,HNT132,-60.0%,low/listing,,,,,,
Hunt the Hunter,The Hunted,normal,HNT161,-80.0%,low/listing,,,,,,
Hunt to the Ends of Rathe,The Hunted,normal,HNT152,-80.0%,low/listing,,,,,,
Hunt's End,The Hunted,normal,HNT101,-49.3%,low/listing,,,,,,
Hunter's Klaive,The Hunted,normal,HNT009,-30.1%,low/listing,,,,,,
Ignite,The Hunted,normal,HNT058,-71.9%,low/listing,,,,,,
Imperial Seal of Command,The Hunted,normal,HNT228,-85.7%,low/listing,,,,,,
Incision (Blue),The Hunted,normal,HNT207,-75.0%,low/listing,,,,,,
Incision (Red),The Hunted,normal,HNT205,-77.8%,low/listing,,,,,,
Incision (Yellow),The Hunted,normal,HNT206,-60.0%,low/listing,,,,,,
Jagged Edge,The Hunted,normal,HNT116,-86.6%,low/listing,,,,,,
Kiss of Death,The Hunted,normal,HNT012,-31.4%,low/listing,,,,,,
Knife through Butter (Blue),The Hunted,normal,HNT136,-60.0%,low/listing,,,,,,
Knife through Butter (Red),The Hunted,normal,HNT134,,,,,,,,
Knife through Butter (Yellow),The Hunted,normal,HNT135,-60.0%,low/listing,,,,,,
Lava Vein Loyalty (Red),The Hunted,normal,HNT068,,,,,,,,
Lay Low,The Hunted,normal,HNT236,-80.0%,low/listing,,,,,,
Leap Frog Gloves,The Hunted,normal,HNT171,-60.0%,low/listing,,,,,,
Leap Frog Leggings,The Hunted,normal,HNT172,-60.0%,low/listing,,,,,,
Leap Frog Slime Skin,The Hunted,normal,HNT170,+100.0%,low/listing,,,,,,
Leap Frog Vocal Sac,The Hunted,normal,HNT169,-60.0%,low/listing,,,,,,
Long Whisker Loyalty,The Hunted,normal,HNT102,-80.5%,low/listing,,,,,,
Loyalty Beyond the Grave,The Hunted,normal,HNT150,-51.8%,low/listing,,,,,,
Mark of the Black Widow (Blue),The Hunted,normal,HNT034,-66.7%,low/listing,,,,,,
Mark of the Black Widow (Red),The Hunted,normal,HNT032,-60.0%,low/listing,,,,,,
Mark of the Black Widow (Yellow),The Hunted,normal,HNT033,-80.0%,low/listing,,,,,,
Mark of the Funnel Web (Blue),The Hunted,normal,HNT037,-33.3%,low/listing,,,,,,
Mark of the Funnel Web (Red),The Hunted,normal,HNT035,-66.7%,low/listing,,,,,,
Mark of the Funnel Web (Yellow),The Hunted,normal,HNT036,-75.0%,low/listing,,,,,,
Mark the Prey (Blue),The Hunted,normal,HNT040,,,,,,,,
Mark the Prey (Red),The Hunted,normal,HNT038,+0.0%,low/listing,,,,,,
Mark the Prey (Yellow),The Hunted,normal,HNT039,-80.0%,low/listing,,,,,,
Misfire Dampener,The Hunted,normal,HNT250,-77.3%,low/listing,,,,,,
Null Time Zone,The Hunted,normal,HNT251,-57.2%,low/listing,,,,,,
Oath of Loyalty,The Hunted,normal,HNT149,-36.3%,low/listing,,,,,,
Orb-Weaver Spinneret (Blue),The Hunted,normal,HNT028,-88.2%,low/listing,,,,,,
Orb-Weaver Spinneret (Red),The Hunted,normal,HNT026,-77.2%,low/listing,,,,,,
Orb-Weaver Spinneret (Yellow),The Hunted,normal,HNT027,-80.0%,low/listing,,,,,,
Outed,The Hunted,normal,HNT235,-71.4%,low/listing,,,,,,
Pain in the Backside,The Hunted,normal,HNT174,-6.1%,low/listing,,,,,,
