# currency: USD
Name,Set,Finish,Code,NM,NM Source,SP/LP,SP/LP Source,MP,MP Source,HP,HP Source
Buckwild,Armory Deck: Rhinar,normal,,0.55,listing,,,,,,
Clearing Bellow,Armory Deck: Rhinar,normal,,0.25,listing,0.1,listing,,,,
Echo Casque,Armory Deck: Rhinar,foil,,3.75,listing,3.55,listing,,,,
Goliath Gauntlet,Armory Deck: Rhinar,foil,,2.57,listing,4.75,listing,,,3.14,listing
Massacre,Armory Deck: Rhinar,normal,,0.99,listing,0.35,listing,,,,
Might,Armory Deck: Rhinar,normal,,1.1,listing,,,,,,
Pound Town (Red),Armory Deck: Rhinar,normal,,0.1,listing,0.1,listing,,,,
Pound Town (Yellow),Armory Deck: Rhinar,normal,,0.1,listing,0.09,listing,,,,
Rawhide Rumble,Armory Deck: Rhinar,normal,,0.35,listing,,,,,,
"Rhinar, Reckless Rampage",Armory Deck: Rhinar,normal,,0.68,listing,2.16,listing,,,,
Romping Club,Armory Deck: Rhinar,normal,,0.88,listing,,,,,,
Show No Mercy,Armory Deck: Rhinar,normal,,0.29,listing,1,listing,,,,
Smashback Alehorn,Armory Deck: Rhinar,normal,,0.25,listing,,,,,,
Smell Fear (Blue),Armory Deck: Rhinar,normal,,4.99,listing,,,,,,
Smell Fear (Yellow),Armory Deck: Rhinar,normal,,0.5,listing,,,,,,
Strongest Survive,Armory Deck: Rhinar,normal,,0.25,listing,,,,,,
Torc of Vim,Armory Deck: Rhinar,foil,,0.5,listing,1.49,listing,,,,
Trampling Trackers,Armory Deck: Rhinar,foil,,0.68,listing,1.87,listing,,,,
Wrecker Romp,Armory Deck: Rhinar,normal,,0.55,listing,,,,,,
A Good Clean Fight,GEM Pack 3,normal,,0.05,listing,0.35,listing,,,,
A Good Clean Fight,GEM Pack 3,foil,,0.29,listing,0.39,listing,,,,
Backup Protocol: RED,GEM Pack 3,foil,,2.99,listing,3.23,listing,1.91,listing,,
Boulder Drop,GEM Pack 3,normal,,6.45,listing,6.45,listing,,,,
Boulder Drop,GEM Pack 3,foil,,8.8,listing,8.59,listing,8.81,listing,,
"Bravo, Flattering Showman",GEM Pack 3,normal,,0.5,listing,0.99,listing,,,,
Buckwild,GEM Pack 3,normal,,0.67,listing,1.25,listing,,,,
Buckwild,GEM Pack 3,foil,,1.58,listing,1.81,listing,,,,
Clamp Press,GEM Pack 3,foil,,0.45,listing,0.69,listing,0.65,listing,,
Cruel Ambition,GEM Pack 3,normal,,0.2,listing,1,listing,,,,
Cruel Ambition,GEM Pack 3,foil,,1.3,listing,2.06,listing,,,,
Energetic Impact,GEM Pack 3,normal,,0.25,listing,0.88,listing,,,,
Energetic Impact,GEM Pack 3,foil,,0.5,listing,0.49,listing,,,,
Fast and Furious,GEM Pack 3,normal,,10.5,listing,,,,,,
Fast and Furious,GEM Pack 3,foil,,9.7,listing,10.95,listing,10.99,listing,,
Flex Strength,GEM Pack 3,normal,,0.35,listing,0.49,listing,5.14,listing,,
Flex Strength,GEM Pack 3,foil,,0.25,listing,0.49,listing,,,,
Gem Pack 3 Booster Pack,GEM Pack 3,normal,,,,,,,,,
Halo of Lumina Light,GEM Pack 3,foil,,1,listing,1.23,listing,,,,
Helm of the Arknight,GEM Pack 3,foil,,0.8,listing,2,listing,,,,
Heroic Pose,GEM Pack 3,normal,,0.25,listing,0.5,listing,,,,
Heroic Pose,GEM Pack 3,foil,,0.3,listing,0.49,listing,,,,
Humble Entrance,GEM Pack 3,normal,,0.24,listing,0.49,listing,,,,
Humble Entrance,GEM Pack 3,foil,,0.21,listing,0.98,listing,5.46,listing,,
Jarl Vetreidi,GEM Pack 3,normal,,2.01,listing,4.4,listing,,,,
Loot the Arsenal,GEM Pack 3,normal,,0.49,listing,0.5,listing,,,,
Loot the Arsenal,GEM Pack 3,foil,,0.5,listing,1.25,listing,,,,
Loot the Hold,GEM Pack 3,normal,,1.09,listing,2,listing,,,,
Loot the Hold,GEM Pack 3,foil,,2.25,listing,1.99,listing,,,,
Low Blow,GEM Pack 3,normal,,0.05,listing,0.49,listing,,,,
Low Blow,GEM Pack 3,foil,,0.25,listing,0.49,listing,,,0.49,listing
"Lyath Goldmane, Vile Savant // Pleiades, Superstar Double Sided Art Card (Bottom Center)",GEM Pack 3,normal,,3.59,listing,,,,,,
"Lyath Goldmane, Vile Savant // Pleiades, Superstar Double Sided Art Card (Bottom Left)",GEM Pack 3,normal,,5,listing,,,,,,
"Lyath Goldmane, Vile Savant // Pleiades, Superstar Double Sided Art Card (Bottom Right)",GEM Pack 3,normal,,5,listing,,,,,,
"Lyath Goldmane, Vile Savant // Pleiades, Superstar Double Sided Art Card (Middle Center)",GEM Pack 3,normal,,5.01,listing,,,,,,
"Lyath Goldmane, Vile Savant // Pleiades, Superstar Double Sided Art Card (Middle Left)",GEM Pack 3,normal,,5,listing,,,,,,
"Lyath Goldmane, Vile Savant // Pleiades, Superstar Double Sided Art Card (Middle Right)",GEM Pack 3,normal,,4.33,listing,,,,,,
"Lyath Goldmane, Vile Savant // Pleiades, Superstar Double Sided Art Card (Top Center)",GEM Pack 3,normal,,5,listing,,,,,,
"Lyath Goldmane, Vile Savant // Pleiades, Superstar Double Sided Art Card (Top Left)",GEM Pack 3,normal,,4.01,listing,,,,,,
"Lyath Goldmane, Vile Savant // Pleiades, Superstar Double Sided Art Card (Top Right)",GEM Pack 3,normal,,5,listing,,,,,,
Malefic Incantation,GEM Pack 3,foil,,8.5,listing,8.6,listing,,,5.41,listing
Moment Maker,GEM Pack 3,normal,,0.15,listing,0.39,listing,12.65,listing,,
Moment Maker,GEM Pack 3,foil,,1.69,listing,1.1,listing,1.05,listing,,
Overturn the Results,GEM Pack 3,normal,,0.24,listing,0.25,listing,,,,
Overturn the Results,GEM Pack 3,foil,,0.25,listing,0.29,listing,,,,
Power Play,GEM Pack 3,normal,,0.24,listing,0.72,listing,,,,
Power Play,GEM Pack 3,foil,,0.79,listing,1.4,listing,,,,
"Prism, Awakener of Sol (Marvel)",GEM Pack 3,foil,,34.95,listing,55,listing,,,,
Rampart of the Ram's Head,GEM Pack 3,foil,,14,listing,26,listing,,,,
Rapturous Applause,GEM Pack 3,normal,,0.24,listing,0.48,listing,,,,
Rapturous Applause,GEM Pack 3,foil,,0.1,listing,0.5,listing,1.97,listing,,
Rok,GEM Pack 3,normal,,0.98,listing,1,listing,,,,
Savage Sash,GEM Pack 3,foil,,2.89,listing,2.79,listing,2.54,listing,,
Shining Courage,GEM Pack 3,normal,,0.25,listing,0.35,listing,,,,
Shining Courage,GEM Pack 3,foil,,0.15,listing,0.35,listing,,,,
Smashing Ground,GEM Pack 3,normal,,0.25,listing,0.88,listing,,,,
Smashing Ground,GEM Pack 3,foil,,0.6,listing,0.84,listing,,,,
Standing Ovation,GEM Pack 3,foil,,0.65,listing,0.85,listing,,,,
Steal Victory,GEM Pack 3,normal,,0.5,listing,1.01,listing,,,,
Steal Victory,GEM Pack 3,foil,,0.75,listing,1.49,listing,,,,
"Summit, the Unforgiving",GEM Pack 3,normal,,0.65,listing,0.54,listing,,,,
"Summit, the Unforgiving",GEM Pack 3,foil,,11.98,listing,10,listing,,,,
Take That!,GEM Pack 3,normal,,0.15,listing,0.49,listing,,,,
Take That!,GEM Pack 3,foil,,0.25,listing,0.49,listing,,,,
"Tuffnut, Bumbling Hulkster // Kayo, Underhanded Cheat Double Sided Art Card (Bottom Center)",GEM Pack 3,normal,,5.4,listing,,,,,,
"Tuffnut, Bumbling Hulkster // Kayo, Underhanded Cheat Double Sided Art Card (Bottom Left)",GEM Pack 3,normal,,5,listing,,,,,,
"Tuffnut, Bumbling Hulkster // Kayo, Underhanded Cheat Double Sided Art Card (Bottom Right)",GEM Pack 3,normal,,,,,,,,,
"Tuffnut, Bumbling Hulkster // Kayo, Underhanded Cheat Double Sided Art Card (Middle Center)",GEM Pack 3,normal,,5.4,listing,,,,,,
"Tuffnut, Bumbling Hulkster // Kayo, Underhanded Cheat Double Sided Art Card (Middle Left)",GEM Pack 3,normal,,5,listing,,,,,,
"Tuffnut, Bumbling Hulkster // Kayo, Underhanded Cheat Double Sided Art Card (Middle Right)",GEM Pack 3,normal,,5,listing,,,,,,
"Tuffnut, Bumbling Hulkster // Kayo, Underhanded Cheat Double Sided Art Card (Top Center)",GEM Pack 3,normal,,5,listing,,,,,,
"Tuffnut, Bumbling Hulkster // Kayo, Underhanded Cheat Double Sided Art Card (Top Left)",GEM Pack 3,normal,,3.69,listing,,,,,,
"Tuffnut, Bumbling Hulkster // Kayo, Underhanded Cheat Double Sided Art Card (Top Right)",GEM Pack 3,normal,,5,listing,,,,,,
Turning Point,GEM Pack 3,normal,,0.2,listing,0.51,listing,12.65,listing,,
Turning Point,GEM Pack 3,foil,,0.35,listing,0.89,listing,,,,
Villainous Pose,GEM Pack 3,normal,,0.46,listing,0.79,listing,5.46,listing,,
Villainous Pose,GEM Pack 3,foil,,1.39,listing,2.89,listing,,,,
Wind Up the Crowd,GEM Pack 3,normal,,0.5,listing,0.89,listing,5.46,listing,,
Wind Up the Crowd,GEM Pack 3,foil,,0.9,listing,1.63,listing,4.2,listing,,
A Good Clean Fight,Super Slam,normal,SUP021,0.1,listing,0.27,listing,,,,
A Good Clean Fight,Super Slam,foil,SUP021,0.1,listing,0.53,listing,,,,
Act of Glory (Blue),Super Slam,normal,SUP197,0.09,listing,0.1,listing,0.2,listing,,
Act of Glory (Blue),Super Slam,foil,SUP197,0.1,listing,0.28,listing,,,,
Act of Glory (Red),Super Slam,normal,SUP195,0.03,listing,0.2,listing,0.2,listing,0.06,listing
Act of Glory (Red),Super Slam,foil,SUP195,0.15,listing,2.19,listing,,,,
Act of Glory (Yellow),Super Slam,normal,SUP196,0.08,listing,0.1,listing,0.2,listing,,
Act of Glory (Yellow),Super Slam,foil,SUP196,0.16,listing,0.29,listing,,,,
Adaptive Alpha Mold,Super Slam,normal,SUP253,3.74,listing,5,listing,,,,
Adaptive Alpha Mold (Extended Art),Super Slam,foil,,29.9,listing,34.99,listing,,,,
Angelic Attendant,Super Slam,normal,SUP265,0.36,listing,0.7,listing,,,,
Angelic Attendant (Extended Art),Super Slam,foil,,16.99,listing,25.19,listing,,,,
Arrogant Showboating,Super Slam,normal,SUP096,0.04,listing,0.25,listing,,,,
Arrogant Showboating,Super Slam,foil,SUP096,0.3,listing,1.65,listing,,,,
Asking for Trouble,Super Slam,normal,SUP140,0.05,listing,0.25,listing,,,,
Asking for Trouble,Super Slam,foil,SUP140,0.1,listing,0.5,listing,,,,
Attention Grabbers,Super Slam,foil,SUP274,5.45,listing,4.26,listing,,,,
Authority of Ataya,Super Slam,foil,SUP000,240.99,listing,500,listing,,,,
Backspin Thrust,Super Slam,normal,SUP254,3.3,listing,3.25,listing,,,,
Backspin Thrust (Extended Art),Super Slam,foil,,38.31,listing,42.99,listing,,,,
Bait,Super Slam,normal,SUP259,0.2,listing,0.27,listing,3.03,listing,,
Bark Obscenities,Super Slam,normal,SUP167,0.07,listing,0.1,listing,0.13,listing,,
Bark Obscenities,Super Slam,foil,SUP167,0.15,listing,0.4,listing,,,,
Bash Brute,Super Slam,normal,SUP184,0.02,listing,0.2,listing,0.13,listing,,
Bash Brute,Super Slam,foil,SUP184,0.1,listing,0.25,listing,,,,
Bash Guardian,Super Slam,normal,SUP141,0.08,listing,0.1,listing,0.2,listing,0.2,listing
Bash Guardian,Super Slam,foil,SUP141,0.22,listing,1.07,listing,,,,
Bask in Your Own Greatness (Blue),Super Slam,normal,SUP100,0.09,listing,0.2,listing,0.2,listing,,
Bask in Your Own Greatness (Blue),Super Slam,foil,SUP100,0.1,listing,0.1,listing,,,,
Bask in Your Own Greatness (Red),Super Slam,normal,SUP098,0.1,listing,0.2,listing,0.2,listing,,
Bask in Your Own Greatness (Red),Super Slam,foil,SUP098,0.15,listing,0.4,listing,4,listing,,
Bask in Your Own Greatness (Yellow),Super Slam,normal,SUP099,0.03,listing,0.1,listing,0.13,listing,,
Bask in Your Own Greatness (Yellow),Super Slam,foil,SUP099,0.11,listing,0.25,listing,,,,
"Battered, Beaten, and Broken",Super Slam,normal,SUP083,0.9,listing,1.18,listing,,,,
"Battered, Beaten, and Broken",Super Slam,foil,SUP083,1.37,listing,1.37,listing,,,,
Battlefield Beacon,Super Slam,normal,SUP266,0.65,listing,1.17,listing,,,,
Battlefield Beacon,Super Slam,foil,SUP266,1.4,listing,3.51,listing,,,,
Beat of the Ironsong,Super Slam,normal,SUP251,0.49,listing,1,listing,,,,
Beat of the Ironsong,Super Slam,foil,SUP251,3.49,listing,3.68,listing,,,,
Beat the Same Drum,Super Slam,normal,SUP219,0.06,listing,0.38,listing,,,,
Beat the Same Drum,Super Slam,foil,SUP219,0.51,listing,0.95,listing,,,,
Big Bully,Super Slam,normal,SUP067,0.38,listing,0.46,listing,,,,
Big Bully,Super Slam,foil,SUP067,0.69,listing,0.69,listing,,,,
Blood Follows Blade,Super Slam,normal,SUP252,0.75,listing,0.75,listing,,,,
Blood Follows Blade,Super Slam,foil,SUP252,3,listing,4.99,listing,,,,
Bluster Buff,Super Slam,normal,SUP221,0.2,listing,0.34,listing,,,,
Bluster Buff,Super Slam,foil,SUP221,0.48,listing,4,listing,,,,
Boots to the Boards,Super Slam,foil,SUP275,11.79,listing,11.83,listing,8.44,listing,,
Booze!,Super Slam,normal,SUP117,0.1,listing,0.2,listing,0.2,listing,0.2,listing
Booze!,Super Slam,foil,SUP117,0.4,listing,0.4,listing,,,,
Brothers in Arms (Blue),Super Slam,normal,SUP229,0.09,listing,0.23,listing,0.2,listing,,
Brothers in Arms (Red),Super Slam,normal,SUP227,0.07,listing,0.2,listing,0.2,listing,,
Brothers in Arms (Yellow),Super Slam,normal,SUP228,0.07,listing,0.2,listing,0.2,listing,,
Buckwild (Blue),Super Slam,normal,SUP145,0.03,listing,0.25,listing,0.19,listing,,
Buckwild (Blue),Super Slam,foil,SUP145,0.3,listing,0.39,listing,0.25,listing,,
Buckwild (Red),Super Slam,normal,SUP143,0.1,listing,0.2,listing,0.2,listing,,
Buckwild (Red),Super Slam,foil,SUP143,0.34,listing,0.39,listing,,,,
Buckwild (Yellow),Super Slam,normal,SUP144,0.1,listing,0.2,listing,0.2,listing,0.2,listing
Buckwild (Yellow),Super Slam,foil,SUP144,0.41,listing,0.42,listing,,,,
Bully Tactics,Super Slam,normal,SUP081,0.19,listing,0.47,listing,,,,
Bully Tactics,Super Slam,foil,SUP081,0.5,listing,0.49,listing,,,,
Catch of the Day,Super Slam,normal,SUP268,2,listing,3.99,listing,,,,
Catch of the Day,Super Slam,foil,SUP268,3.59,listing,3.99,listing,,,,
Challenge the Alpha,Super Slam,normal,SUP129,0.15,listing,0.24,listing,0.75,listing,,
Challenge the Alpha,Super Slam,foil,SUP129,0.3,listing,0.42,listing,,,,
Channel the Tranquil Domain,Super Slam,normal,SUP263,0.23,listing,0.25,listing,,,,
Channel the Tranquil Domain (Extended Art),Super Slam,foil,,,,7.99,listing,,,,
Cheap Shot,Super Slam,normal,SUP094,0.02,listing,0.25,listing,0.38,listing,,
Cheap Shot,Super Slam,foil,SUP094,0.05,listing,0.35,listing,,,,
Cheater's Charm,Super Slam,normal,SUP068,0.14,listing,0.23,listing,,,,
Cheers!,Super Slam,normal,SUP055,0.08,listing,0.19,listing,0.2,listing,0.2,listing
Cheers!,Super Slam,foil,SUP055,0.1,listing,0.25,listing,,,,
Chest Puff,Super Slam,normal,SUP222,0.25,listing,0.89,listing,,,,
Chest Puff,Super Slam,foil,SUP222,0.6,listing,,,,,,
Clench the Upper Hand (Blue),Super Slam,normal,SUP103,0.08,listing,0.2,listing,0.15,listing,0.2,listing
Clench the Upper Hand (Blue),Super Slam,foil,SUP103,0.1,listing,0.39,listing,,,,
Clench the Upper Hand (Red),Super Slam,normal,SUP101,0.08,listing,0.2,listing,0.13,listing,,
Clench the Upper Hand (Red),Super Slam,foil,SUP101,0.15,listing,0.4,listing,,,,
Clench the Upper Hand (Yellow),Super Slam,normal,SUP102,0.07,listing,0.1,listing,0.2,listing,0.2,listing
Clench the Upper Hand (Yellow),Super Slam,foil,SUP102,0.12,listing,0.1,listing,,,,
Comeback Kid (Blue),Super Slam,normal,SUP029,0.1,listing,0.2,listing,0.2,listing,,
Comeback Kid (Blue),Super Slam,foil,SUP029,0.15,listing,0.36,listing,,,,
Comeback Kid (Red),Super Slam,normal,SUP027,0.1,listing,0.25,listing,,,,
Comeback Kid (Red),Super Slam,foil,SUP027,0.25,listing,4.99,listing,0.2,listing,,
Comeback Kid (Yellow),Super Slam,normal,SUP028,0.1,listing,0.1,listing,,,,
Comeback Kid (Yellow),Super Slam,foil,SUP028,0.25,listing,0.5,listing,,,,
Concealed Object,Super Slam,normal,SUP097,0.1,listing,0.25,listing,,,,
Concealed Object,Super Slam,foil,SUP097,7.89,listing,,,,,,
Cracked Bauble,Super Slam,normal,,0.05,listing,0.1,listing,0.2,listing,,
Cries of Encore,Super Slam,normal,SUP012,0.49,listing,1.02,listing,,,,
Cries of Encore (Extended Art),Super Slam,foil,,14.69,listing,19.99,listing,,,,
Crowd Goes Wild,Super Slam,normal,SUP019,0.25,listing,0.49,listing,,,,
Crowd Goes Wild,Super Slam,foil,SUP019,0.79,listing,1.69,listing,,,,
Cruel Ambition,Super Slam,normal,SUP118,0.09,listing,0.2,listing,0.15,listing,0.2,listing
Cruel Ambition,Super Slam,foil,SUP118,0.1,listing,0.25,listing,,,,
Cut a Long Story Short,Super Slam,normal,SUP172,1.46,listing,1.5,listing,,,,
Cut a Long Story Short,Super Slam,foil,SUP172,1.45,listing,1.27,listing,,,,
Cut Off at the Knees,Super Slam,normal,SUP173,0.1,listing,0.5,listing,,,,
Cut Off at the Knees,Super Slam,foil,SUP173,0.23,listing,0.74,listing,,,,
Cut the Small Talk,Super Slam,normal,SUP174,0.2,listing,0.41,listing,0.38,listing,,
Cut the Small Talk,Super Slam,foil,SUP174,0.22,listing,10.1,listing,,,,
Cutting Retort,Super Slam,normal,SUP215,2.37,listing,3,listing,,,,
Cutting Retort,Super Slam,foil,SUP215,3.5,listing,5,listing,,,,
Darling of the Crowd,Super Slam,normal,SUP061,0.04,listing,0.2,listing,0.15,listing,,
Darling of the Crowd,Super Slam,foil,SUP061,0.15,listing,0.26,listing,,,,
Dig In (Blue),Super Slam,normal,SUP038,0.05,listing,0.2,listing,0.15,listing,0.2,listing
Dig In (Blue),Super Slam,foil,SUP038,0.25,listing,,,,,,
Dig In (Red),Super Slam,normal,SUP036,0.05,listing,0.2,listing,0.15,listing,,
Dig In (Red),Super Slam,foil,SUP036,0.1,listing,0.5,listing,,,,
Dig In (Yellow),Super Slam,normal,SUP037,0.05,listing,0.2,listing,0.15,listing,0.2,listing
Dig In (Yellow),Super Slam,foil,SUP037,0.15,listing,0.25,listing,,,,
Disarm,Super Slam,normal,SUP030,0.1,listing,0.25,listing,,,,
Disarm,Super Slam,foil,SUP030,0.15,listing,0.54,listing,,,,
Disdainful Delight,Super Slam,normal,SUP123,0.1,listing,0.15,listing,0.15,listing,,
Disdainful Delight,Super Slam,foil,SUP123,0.1,listing,0.4,listing,,,,
Disembody,Super Slam,normal,SUP031,0.1,listing,0.25,listing,0.15,listing,,
Disembody,Super Slam,foil,SUP031,0.2,listing,0.39,listing,,,,
Disperse,Super Slam,normal,SUP032,0.1,listing,0.15,listing,,,,
Disperse,Super Slam,foil,SUP032,0.19,listing,0.47,listing,,,,
Disturb the Peace,Super Slam,normal,SUP130,0.08,listing,0.15,listing,,,,
Disturb the Peace,Super Slam,foil,SUP130,0.12,listing,0.29,listing,,,,
Dramatic Pause (Blue),Super Slam,normal,SUP200,0.06,listing,0.1,listing,0.15,listing,,
Dramatic Pause (Blue),Super Slam,foil,SUP200,0.15,listing,0.4,listing,,,,
Dramatic Pause (Red),Super Slam,normal,SUP198,0.06,listing,0.2,listing,0.15,listing,,
Dramatic Pause (Red),Super Slam,foil,SUP198,0.11,listing,0.15,listing,,,,
Dramatic Pause (Yellow),Super Slam,normal,SUP199,0.08,listing,0.1,listing,0.2,listing,0.2,listing
Dramatic Pause (Yellow),Super Slam,foil,SUP199,0.1,listing,0.5,listing,,,,
Edge of Their Seats (Blue),Super Slam,normal,SUP203,0.1,listing,0.25,listing,0.2,listing,,
Edge of Their Seats (Blue),Super Slam,foil,SUP203,0.27,listing,0.2,listing,,,,
Edge of Their Seats (Red),Super Slam,normal,SUP201,0.05,listing,0.2,listing,0.15,listing,,
Edge of Their Seats (Red),Super Slam,foil,SUP201,0.35,listing,0.35,listing,,,,
Edge of Their Seats (Yellow),Super Slam,normal,SUP202,0.09,listing,0.2,listing,0.2,listing,0.2,listing
Edge of Their Seats (Yellow),Super Slam,foil,SUP202,0.14,listing,0.3,listing,,,,
Empowering Ruckus,Super Slam,normal,SUP039,0.06,listing,0.25,listing,0.15,listing,,
Empowering Ruckus,Super Slam,foil,SUP039,0.1,listing,0.25,listing,,,,
Energetic Impact,Super Slam,normal,SUP131,0.37,listing,0.48,listing,,,,
Energetic Impact,Super Slam,foil,SUP131,0.75,listing,0.88,listing,,,,
Escalate Order,Super Slam,normal,SUP022,0.75,listing,0.46,listing,,,2.39,listing
Escalate Order,Super Slam,foil,SUP022,0.78,listing,1.28,listing,,,,
Escalate Violence,Super Slam,normal,SUP084,0.59,listing,1.09,listing,,,,
Escalate Violence,Super Slam,foil,SUP084,1.25,listing,1.79,listing,,,,
Familiar Stench,Super Slam,normal,SUP142,0.08,listing,0.1,listing,0.15,listing,,
Familiar Stench,Super Slam,foil,SUP142,0.14,listing,0.25,listing,,,,
Familiar Story,Super Slam,normal,SUP185,0.01,listing,0.1,listing,0.2,listing,,
Familiar Story,Super Slam,foil,SUP185,0.1,listing,0.5,listing,,,,
Feisty Locals (Blue),Super Slam,normal,SUP232,0.03,listing,0.1,listing,0.2,listing,,
Feisty Locals (Red),Super Slam,normal,SUP230,0.05,listing,0.1,listing,0.2,listing,0.2,listing
Feisty Locals (Yellow),Super Slam,normal,SUP231,0.08,listing,0.1,listing,0.2,listing,0.2,listing
Felling of the Crown,Super Slam,normal,SUP261,2,listing,3.32,listing,5.5,listing,,
Fight Dirty,Super Slam,normal,SUP089,0.1,listing,0.25,listing,0.15,listing,,
Fight Dirty,Super Slam,foil,SUP089,0.18,listing,0.29,listing,,,,
Fight Fair,Super Slam,normal,SUP033,0.05,listing,0.1,listing,0.15,listing,,
Fight Fair,Super Slam,foil,SUP033,0.15,listing,0.4,listing,,,,
Fight from Behind (Blue),Super Slam,normal,SUP042,0.05,listing,0.2,listing,0.15,listing,0.2,listing
Fight from Behind (Blue),Super Slam,foil,SUP042,0.1,listing,0.37,listing,,,,
Fight from Behind (Red),Super Slam,normal,SUP040,0.01,listing,0.1,listing,0.15,listing,,
Fight from Behind (Red),Super Slam,foil,SUP040,0.1,listing,93.95,listing,,,,
Fight from Behind (Yellow),Super Slam,normal,SUP041,0.07,listing,0.25,listing,0.15,listing,,
Fight from Behind (Yellow),Super Slam,foil,SUP041,0.13,listing,0.38,listing,0.2,listing,,
Fix the Match,Super Slam,normal,SUP082,1.5,listing,1.84,listing,,,,
Fix the Match,Super Slam,foil,SUP082,2.2,listing,2.35,listing,,,,
Flex Speed (Blue),Super Slam,normal,SUP148,0.09,listing,0.1,listing,0.15,listing,,
Flex Speed (Blue),Super Slam,foil,SUP148,0.1,listing,0.25,listing,,,,
Flex Speed (Red),Super Slam,normal,SUP146,0.08,listing,0.2,listing,0.15,listing,,
Flex Speed (Red),Super Slam,foil,SUP146,0.1,listing,0.25,listing,,,,
Flex Speed (Yellow),Super Slam,normal,SUP147,0.01,listing,0.1,listing,0.2,listing,,
Flex Speed (Yellow),Super Slam,foil,SUP147,0.07,listing,0.37,listing,,,,
Flex Strength (Blue),Super Slam,normal,SUP151,0.1,listing,0.17,listing,0.15,listing,0.2,listing
Flex Strength (Blue),Super Slam,foil,SUP151,0.12,listing,0.15,listing,,,,
Flex Strength (Red),Super Slam,normal,SUP149,0.1,listing,0.1,listing,0.2,listing,,
Flex Strength (Red),Super Slam,foil,SUP149,0.1,listing,0.34,listing,,,,
Flex Strength (Yellow),Super Slam,normal,SUP150,0.08,listing,0.1,listing,0.2,listing,,
Flex Strength (Yellow),Super Slam,foil,SUP150,0.03,listing,0.25,listing,,,,
Flick Knives,Super Slam,normal,SUP244,8.67,listing,14.14,listing,,,,
Flick Knives,Super Slam,foil,SUP244,27.39,listing,24.49,listing,,,,
Flick Knives (Extended Art),Super Slam,foil,,14.95,listing,15,listing,,,,
Full of Bravado (Blue),Super Slam,normal,SUP180,0.1,listing,0.25,listing,,,,
Full of Bravado (Blue),Super Slam,foil,SUP180,0.3,listing,0.39,listing,,,,
Full of Bravado (Red),Super Slam,normal,SUP178,0.1,listing,0.25,listing,0.2,listing,,
Full of Bravado (Red),Super Slam,foil,SUP178,0.1,listing,0.39,listing,,,,
Full of Bravado (Yellow),Super Slam,normal,SUP179,0.07,listing,0.1,listing,0.34,listing,,
Full of Bravado (Yellow),Super Slam,foil,SUP179,0.09,listing,0.96,listing,0.2,listing,,
"Gallow, End of the Line",Super Slam,normal,SUP267,0.2,listing,0.5,listing,1.1,listing,,
"Gallow, End of the Line (Marvel)",Super Slam,foil,,,,15.58,listing,,,,
Gang Robbery,Super Slam,normal,SUP085,0.51,listing,0.3,listing,5.46,listing,,
Gang Robbery,Super Slam,foil,SUP085,0.62,listing,1.89,listing,,,,
Garland of Spring,Super Slam,normal,SUP212,0.1,listing,0.25,listing,0.2,listing,0.2,listing
Gauntlets of Tyrannical Rex,Super Slam,foil,SUP125,32.67,listing,39.99,listing,,,,
Give 'Em a Piece of Your Mind (Blue),Super Slam,normal,SUP154,0.1,listing,0.2,listing,0.15,listing,,
Give 'Em a Piece of Your Mind (Blue),Super Slam,foil,SUP154,0.14,listing,0.4,listing,,,,
Give 'Em a Piece of Your Mind (Red),Super Slam,normal,SUP152,,,0.25,listing,0.15,listing,,
Give 'Em a Piece of Your Mind (Red),Super Slam,foil,SUP152,,,0.3,listing,,,,
Give 'Em a Piece of Your Mind (Yellow),Super Slam,normal,SUP153,0.08,listing,0.25,listing,0.2,listing,,
Give 'Em a Piece of Your Mind (Yellow),Super Slam,foil,SUP153,0.1,listing,164.34,listing,,,,
Golden Gait,Super Slam,normal,SUP250,0.89,listing,1.22,listing,,,,
Golden Gait (Marvel),Super Slam,foil,,75,listing,59.95,listing,,,,
Golden Galea,Super Slam,normal,SUP247,0.49,listing,0.56,listing,,,,
Golden Galea (Marvel),Super Slam,foil,,37.73,listing,,,,,,
Golden Gauntlets,Super Slam,normal,SUP249,1,listing,1.5,listing,,,,
Golden Gauntlets (Marvel),Super Slam,foil,,54.95,listing,,,,,,
Golden Heart Plate,Super Slam,normal,SUP248,0.65,listing,1,listing,,,,
Golden Heart Plate (Marvel),Super Slam,foil,,68.47,listing,,,,,,
Good Natured Brutality,Super Slam,normal,SUP004,0.15,listing,0.25,listing,,,0.2,listing
Good Natured Brutality (Extended Art),Super Slam,foil,,9.89,listing,9.89,listing,,,7.19,listing
Goon Battery,Super Slam,normal,SUP104,0.07,listing,0.2,listing,0.15,listing,,
Goon Battery,Super Slam,foil,SUP104,0.14,listing,0.39,listing,,,,
Goon Beatdown,Super Slam,normal,SUP105,0.1,listing,0.25,listing,0.15,listing,0.2,listing
Goon Beatdown,Super Slam,foil,SUP105,0.23,listing,0.37,listing,,,,
Goon Tactics,Super Slam,normal,SUP106,0.08,listing,0.25,listing,0.2,listing,0.2,listing
Goon Tactics,Super Slam,foil,SUP106,0.1,listing,0.37,listing,,,,
Helm of Hindsight,Super Slam,normal,SUP211,0.08,listing,0.25,listing,0.15,listing,,
